Arm,Family,OutputBasis,Group,Qubits,GatesPerPair,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Time_stdev_s,Peak_RSS_MB,Baseline_RSS_MB,RSS_Delta_MB,RSS_Samples,TraceMalloc_Peak_MB,Gates_total,Gates_2q,Depth,Fallbacks,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,5,5,success,0.0040859,0.0043499,0.0050312,0.000365254,154.7890625,154.4765625,0.3125,21,0.058052063,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,6,5,success,0.0054871,0.0064598,0.0072065,0.000680626,206.03125,205.3710938,0.66015625,54,0.114472389,196,21,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,6,5,success,0.0007535,0.0008135,0.0008526,3.80E-05,154.484375,153.7460938,0.73828125,78,0.038737297,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,6,5,success,0.004061,0.0042551,0.0043071,9.56E-05,154.8671875,154.4882813,0.37890625,22,0.060870171,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,7,5,success,0.0052353,0.0062527,0.0067174,0.000711449,206.234375,205.53125,0.703125,66,0.114875793,196,21,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,7,5,success,0.0007743,0.0008347,0.0009251,5.56E-05,154.4921875,153.8828125,0.609375,58,0.036841393,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,7,5,success,0.0041988,0.0048016,0.005718,0.000553339,154.8242188,154.453125,0.37109375,26,0.057806015,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,8,5,success,0.0051022,0.0062569,0.0066401,0.000729935,206.2929688,205.65625,0.63671875,52,0.114310265,196,21,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,8,5,success,0.0007539,0.0008568,0.0009073,5.91E-05,155.1679688,154.421875,0.74609375,67,0.036841393,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,8,5,success,0.004162,0.0042901,0.0054285,0.000528471,155.0820313,154.6875,0.39453125,17,0.058098793,105,21,9,,3.33E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,9,5,success,0.0053022,0.0059908,0.0066574,0.000488339,206.3125,205.7617188,0.55078125,55,0.121099472,196,21,16,,3.77E-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
