spare,arm,lap,status,compile_s,lap_s,max_pair_distance,ops,routed_twoq,layout_changed,within_0.01s,within_0.1s,within_1.0s,within_10.0s
0,Q3,1,OK,13.036286017999828,13.310085571999934,3.37038365895091e-13,1920,180,False,False,False,False,False
0,Q3,2,OK,13.122839515000123,13.501067769000201,3.3762457817151674e-13,1920,180,False,False,False,False,False
0,Q3,3,OK,12.80131822400017,13.078222782000012,3.379793036409755e-13,1920,180,False,False,False,False,False
0,Q3,4,OK,13.089321040999948,13.36469143300019,3.385532435527734e-13,1920,180,False,False,False,False,False
0,Q3,5,OK,12.919123362999926,13.190091913999822,3.390204808974701e-13,1920,180,False,False,False,False,False
0,Q3,6,OK,12.83989494799971,13.119565434999913,3.3888426609391564e-13,1920,180,False,False,False,False,False
0,Q3,7,OK,12.955050996999944,13.228913476999878,3.3897180155191715e-13,1920,180,False,False,False,False,False
0,Q3,8,OK,12.735142150999764,13.00902570900007,3.391667660457553e-13,1920,180,False,False,False,False,False
0,Q3,9,OK,12.975596826000128,13.361279738999656,3.395736995705375e-13,1920,180,False,False,False,False,False
0,Q3,10,OK,12.767682621999938,13.04399266900009,3.4004524522422147e-13,1920,180,False,False,False,False,False
0,P,1,OK,0.2478568599999562,0.5540308449999429,1.7599864743291847e-11,2160,180,False,False,False,True,True
0,P,2,OK,0.06506664599965006,0.3742008499998519,5.53713567533401e-11,2160,180,False,False,True,True,True
0,P,3,OK,0.06296012000029805,0.4697534040001301,3.6381856785503505e-11,2160,180,False,False,True,True,True
0,P,4,OK,0.060896583999692666,0.35906497500036494,1.6610975897554736e-10,2160,180,False,False,True,True,True
0,P,5,OK,0.05904643900021256,0.36240315900022324,2.2147722562079059e-10,2160,180,False,False,True,True,True
0,P,6,OK,0.06161627000028602,0.36319841799968344,3.5120266545583573e-10,2160,180,False,False,True,True,True
0,P,7,OK,0.058929662999616994,0.36929400300005,3.3220934898106696e-10,2160,180,False,False,True,True,True
0,P,8,OK,0.0611426290001873,0.3649639529999149,4.619335899184882e-10,2160,180,False,False,True,True,True
0,P,9,OK,0.05979052099974069,0.36543406500004494,5.172972133275678e-10,2160,180,False,False,True,True,True
0,P,10,OK,0.059248537000257784,0.46695200600015596,6.470178039453166e-10,2160,180,False,False,True,True,True
8,Q3,1,OK,0.17879914100012684,0.43509938700026396,3.370682424663272e-13,1792,168,False,False,False,True,True
8,Q3,2,OK,0.15103666599998178,0.41367491599976347,3.380738839638853e-13,1792,168,True,False,False,True,True
8,Q3,3,OK,0.14967026099975556,0.40752602300017315,3.3928544610139555e-13,1792,168,False,False,False,True,True
8,Q3,4,OK,0.1557325740000124,0.4157653180000125,3.3887718917024735e-13,1792,168,False,False,False,True,True
8,Q3,5,OK,0.14867368099976375,0.4093549939998411,4.207930701869282e-13,1792,168,False,False,False,True,True
8,Q3,6,OK,0.15178929699959554,0.41648425100038367,5.09329629528554e-13,1792,168,False,False,False,True,True
8,Q3,7,OK,0.16804221499978667,0.5404766810002002,5.332442784200293e-13,1792,168,False,False,False,True,True
8,Q3,8,OK,0.15617464400020253,0.4105698690000281,5.689821726576006e-13,1792,168,False,False,False,True,True
8,Q3,9,OK,0.15205946600008247,0.4159743029999845,5.424712427944581e-13,1792,168,False,False,False,True,True
8,Q3,10,OK,0.15304636199971355,0.4247165660003702,4.3412313646885335e-13,1792,168,False,False,False,True,True
8,P,1,OK,0.029629843999828154,0.3148447819999092,1.7599864743291847e-11,2016,168,False,False,True,True,True
8,P,2,OK,0.027401354999710748,0.30852613800016115,5.53713567533401e-11,2016,168,False,False,True,True,True
8,P,3,OK,0.028372082999794657,0.3072992250004063,3.6381856785503505e-11,2016,168,False,False,True,True,True
8,P,4,OK,0.030215544999919075,0.3172776480000721,1.6610975897554736e-10,2016,168,False,False,True,True,True
8,P,5,OK,0.02752155899997888,0.4387001169998257,2.2147722562079059e-10,2016,168,False,False,True,True,True
8,P,6,OK,0.03108199500002229,0.3077340970003206,3.5120266545583573e-10,2016,168,False,False,True,True,True
8,P,7,OK,0.03137864200016338,0.32049543400034963,3.3220934898106696e-10,2016,168,False,False,True,True,True
8,P,8,OK,0.026697332999901846,0.31476250600007916,4.619335899184882e-10,2016,168,False,False,True,True,True
8,P,9,OK,0.029292833999988943,0.31240054300042175,5.172972133275678e-10,2016,168,False,False,True,True,True
8,P,10,OK,0.029130490999705216,0.31129330299972935,6.470178039453166e-10,2016,168,False,False,True,True,True
