Topology,AvgDegree,Physical,Spare,Qubits,Level,TotalTime_s,VF2Ran,VF2StopReason,VF2Time_s,SabreRan,SabreTime_s,NumPasses,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
diluted_p0.5,2.5,64,40,24,2,0.012803599998733262,True,VF2LayoutStopReason.SOLUTION_FOUND,0.0,False,0.0,37,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,40,24,3,0.035337599998456426,True,VF2LayoutStopReason.SOLUTION_FOUND,0.03311419486999512,False,0.0,45,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,2,0.04690649999974994,True,VF2LayoutStopReason.SOLUTION_FOUND,0.035386085510253906,False,0.0,37,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,3,0.056075199998304015,True,VF2LayoutStopReason.SOLUTION_FOUND,0.04714226722717285,False,0.0,45,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,2,0.010939799998595845,True,VF2LayoutStopReason.SOLUTION_FOUND,0.002369403839111328,False,0.0,37,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,40,24,3,0.03493430000162334,True,VF2LayoutStopReason.SOLUTION_FOUND,0.03395962715148926,False,0.0,45,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,2,0.6428642999999283,True,VF2LayoutStopReason.NO_SOLUTION_FOUND,0.6141760349273682,True,0.0,37,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,3,7.5959002999989025,True,VF2LayoutStopReason.NO_SOLUTION_FOUND,3.815469741821289,True,0.014943599700927734,45,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,2,0.011429300000600051,True,VF2LayoutStopReason.SOLUTION_FOUND,0.015249490737915039,False,0.0,37,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,40,24,3,0.02720739999858779,True,VF2LayoutStopReason.SOLUTION_FOUND,0.01681041717529297,False,0.0,45,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
