Topology,Physical,Spare,Qubits,PerfectMatchingExists,L2_min_s,L2_median_s,L3_min_s,L3_median_s,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
torus_6x7,42,0,42,True,0.010907800000495627,0.011485549999633804,0.022995999999693595,0.023119949999454548,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
torus_6x7,42,4,38,True,0.010774300000775838,0.01102650000120775,0.02709099999992759,0.02832814999965194,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
open_6x7,42,0,42,True,0.5555115999995905,0.5607973999995011,6.384620899998481,6.393719599999713,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
open_6x7,42,4,38,True,0.01648670000031416,0.036631900000429596,0.02556929999991553,0.025698299999930896,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
torus_7x8,56,0,56,True,0.01619840000057593,0.016442950000055134,0.02903409999998985,0.029461200000696408,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
torus_7x8,56,4,52,True,0.014652999998361338,0.015136749999328458,0.02834869999969669,0.030815299999630952,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
open_7x8,56,0,56,True,0.6340240999998059,0.6356284499997855,7.39238049999949,7.4399722499993,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
open_7x8,56,4,52,True,0.013434899999992922,0.014457899999797519,0.02691430000049877,0.027191400000447175,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
