n,spare,grid_rows,grid_cols,qiskit_l3_ms,qiskit_l3_error,psf_zero_nosearch_ms,psf_zero_nosearch_error,psf_zero_nosearch_fallback_count,psf_zero_search_ms,psf_zero_search_error,psf_zero_search_fallback_count,speedup_nosearch_vs_qiskit,speedup_search_vs_qiskit,speedup_search_vs_nosearch,repeats,routing_optimization_level,seed,seed_transpiler,cpu,python_version,qiskit_version
38,4,6,7,22.400499998184387,,10.789299998577917,,0,10.548000002017943,,0,2.0761773239354624,2.123672733589205,1.0228763743376763,5,1,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2
39,3,6,7,21.86230000006617,,11.067799998272676,,0,11.014200001227437,,0,1.975306746008978,1.9849194673811814,1.0048664448656521,5,1,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2
40,2,6,7,21.777000001748092,,10.23440000062692,,0,10.473100002855062,,0,2.1278238099365003,2.0793270374398682,0.9772082762350144,5,1,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2
41,1,6,7,21.428699998068623,,10.20789999893168,,0,10.557500001596054,,0,2.099227069261187,2.029713473343982,0.9668860996815987,5,1,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2
42,0,6,7,6398.976600001333,,22.58119999896735,,0,16.89500000065891,,0,283.37628648140765,378.7497247559497,1.336561112642005,5,1,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2
