p2,seed,iteration,loss
0.01,0,0,1.0984471697555669
0.01,0,1,0.8604728148580204
0.01,0,2,0.6858424834077219
0.01,0,3,0.5362396618396523
0.01,0,4,0.37391979987178775
0.01,0,5,0.22959701404752986
0.01,0,6,0.1286490125704685
0.01,0,7,0.07273251190116332
0.01,0,8,0.04823238008840849
0.01,0,9,0.04036073689347745
0.01,0,10,0.040123265483452616
0.01,0,11,0.04279923490461035
0.01,0,12,0.04512228851194572
0.01,0,13,0.044621762154392924
0.01,0,14,0.04039142558664019
0.01,0,15,0.033373694211893755
0.01,0,16,0.02546985363709789
0.01,0,17,0.018356652428265577
0.01,0,18,0.012884319484769043
0.01,0,19,0.009140502799540585
0.01,0,20,0.006812805166275682
0.01,0,21,0.005507367043408423
0.01,0,22,0.004902432842075861
0.01,0,23,0.004773308492973173
0.01,0,24,0.004961043011479303
0.01,0,25,0.005335204086997961
0.01,0,26,0.005773814939656616
0.01,0,27,0.0061646872629662446
0.01,0,28,0.006420487495548497
0.01,0,29,0.006494278774012401
0.01,0,30,0.006384228680621904
0.01,0,31,0.006124226358598873
0.01,0,32,0.00576581141833514
0.01,0,33,0.005360394990391592
0.01,0,34,0.0049481420257083035
0.01,0,35,0.004554682334372597
0.01,0,36,0.004193150705509454
0.01,0,37,0.003868281346287886
0.01,0,38,0.0035803082897273688
0.01,0,39,0.0033277322574502485
0.01,0,40,0.003108858753036438
0.01,0,41,0.0029223680205500285
0.01,0,42,0.002767261807761154
0.01,0,43,0.002642504268735952
0.01,0,44,0.0025465988281114303
0.01,0,45,0.002477248132201703
0.01,0,46,0.002431160053563182
0.01,0,47,0.00240401328864307
0.01,0,48,0.002390583731971839
0.01,0,49,0.0023850372559306617
0.01,0,50,0.002381388052707739
0.01,0,51,0.002374088062876645
0.01,0,52,0.0023586590263290053
0.01,0,53,0.0023322322087775743
0.01,0,54,0.0022938548449506933
0.01,0,55,0.002244472659036797
0.01,0,56,0.0021865894366710566
0.01,0,57,0.002123697914788486
0.01,0,58,0.002059630583039945
0.01,0,59,0.0019979763231887607
0.01,0,60,0.0019416606577587643
0.01,0,61,0.0018927227698308671
0.01,0,62,0.0018522689461007227
0.01,0,63,0.0018205533877412195
0.01,0,64,0.0017971324276689904
0.01,0,65,0.0017810479780958116
0.01,0,66,0.0017710106489193503
0.01,0,67,0.001765565957826668
0.01,0,68,0.0017632359301160746
0.01,0,69,0.0017626333693453228
0.01,0,70,0.001762548432305355
0.01,0,71,0.001762008115082313
0.01,0,72,0.001760309699723755
0.01,0,73,0.0017570295999627433
0.01,0,74,0.0017520096343315356
0.01,0,75,0.001745323663425797
0.01,0,76,0.0017372287261013693
0.01,0,77,0.0017281060900179426
0.01,0,78,0.0017183986413617175
0.01,0,79,0.001708551394545719
0.01,0,80,0.0016989613499335983
0.01,0,81,0.001689941447033651
0.01,0,82,0.0016817011787733183
0.01,0,83,0.0016743439410071357
0.01,0,84,0.0016678788298597406
0.01,0,85,0.0016622427567345949
0.01,0,86,0.0016573277056823744
0.01,0,87,0.001653007848581499
0.01,0,88,0.0016491620388530913
0.01,0,89,0.0016456887354050656
0.01,0,90,0.0016425123292449658
0.01,0,91,0.0016395817363564717
0.01,0,92,0.0016368635793554576
0.01,0,93,0.0016343330265236311
0.01,0,94,0.0016319653019101449
0.01,0,95,0.001629730138557381
0.01,0,96,0.0016275902856940786
0.01,0,97,0.0016255039342147276
0.01,0,98,0.0016234299030970275
0.01,0,99,0.0016213338468121195
0.01,0,100,0.001619193679775027
0.01,0,101,0.0016170028111162438
0.01,0,102,0.0016147704782058607
0.01,0,103,0.0016125192450297172
0.01,0,104,0.0016102803861433369
0.01,0,105,0.0016080882651570046
0.01,0,106,0.0016059748861334835
0.01,0,107,0.0016039655846069106
0.01,0,108,0.001602076434199487
0.01,0,109,0.0016003135023478286
0.01,0,110,0.0015986737087056518
0.01,0,111,0.0015971467966381266
0.01,0,112,0.0015957178455940535
0.01,0,113,0.0015943698084500382
0.01,0,114,0.0015930857024116008
0.01,0,115,0.0015918502552086608
0.01,0,116,0.0015906509602333497
0.01,0,117,0.0015894785959558863
0.01,0,118,0.0015883273111814348
0.01,0,119,0.0015871943816546646
0.01,0,120,0.0015860797271335667
0.01,0,121,0.001584985261647399
0.01,0,122,0.0015839141446762628
0.01,0,123,0.0015828700076589745
0.01,0,124,0.0015818562400874232
0.01,0,125,0.0015808754208709818
0.01,0,126,0.0015799289650075673
0.01,0,127,0.0015790170213031965
0.01,0,128,0.0015781386103676269
0.01,0,129,0.0015772919454181602
0.01,0,130,0.0015764748447830684
0.01,0,131,0.0015756851340440999
0.01,0,132,0.0015749209502837216
0.01,0,133,0.0015741808959822137
0.01,0,134,0.0015734640349538294
0.01,0,135,0.0015727697643213444
0.01,0,136,0.0015720976237801009
0.01,0,137,0.001571447110329821
0.01,0,138,0.001570817553744872
0.01,0,139,0.00157020808149383
0.01,0,140,0.0015696176709969348
0.01,0,141,0.0015690452614734712
0.01,0,142,0.0015684898838295247
0.01,0,143,0.0015679507673357494
0.01,0,144,0.0015674273940442165
0.01,0,145,0.0015669194906216375
0.01,0,146,0.0015664269660899321
