check,spare,seed,n_active,route_a_s,route_a_timed_out,route_a_cx,route_b_s,route_b_timed_out,route_b_cx,route_a_value,route_b_value,agreement
compile,0,0,42,7.206139899999471,False,63,0.005820999999741616,False,84,,,
compile,0,1,42,6.678553599999759,False,63,0.004862400000092748,False,84,,,
compile,0,2,42,6.706620899999507,False,63,0.004637999999431486,False,84,,,
compile,2,0,40,0.02986739999960264,False,60,0.004499499999838008,False,80,,,
compile,2,1,40,0.02999779999936436,False,60,0.08492539999951987,False,80,,,
compile,2,2,40,0.02905650000047899,False,60,0.004533100000116974,False,80,,,
correctness,,0,6,,,,,,,0.055707972079940896,0.0557079720799407,1.942890293094024e-16
correctness,,1,6,,,,,,,0.1205438906068384,0.12054389060680992,2.8477220581635265e-14
correctness,,2,6,,,,,,,0.033003047919827944,0.033003047919826625,1.3183898417423734e-15
