arm,seed,stop_reason,elapsed_ms,rows,cols,circuit_qubits,call_limit,basis_gates,platform,processor,python,qiskit
dummy,26,NO_SOLUTION_FOUND,336.458,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,27,NO_SOLUTION_FOUND,332.99,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,28,NO_SOLUTION_FOUND,339.545,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
dummy,29,SOLUTION_FOUND,337.717,6,7,42,3000000,u cx (dummy),Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,0,NO_SOLUTION_FOUND,329.279,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,1,SOLUTION_FOUND,342.833,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,2,NO_SOLUTION_FOUND,329.352,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,3,NO_SOLUTION_FOUND,329.953,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,4,NO_SOLUTION_FOUND,347.063,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,5,NO_SOLUTION_FOUND,343.241,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,6,NO_SOLUTION_FOUND,335.482,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,7,NO_SOLUTION_FOUND,334.405,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,8,SOLUTION_FOUND,335.251,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,9,NO_SOLUTION_FOUND,342.615,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,10,NO_SOLUTION_FOUND,332.412,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,11,NO_SOLUTION_FOUND,339.469,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,12,NO_SOLUTION_FOUND,334.221,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,13,NO_SOLUTION_FOUND,328.486,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,14,NO_SOLUTION_FOUND,341.634,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,15,NO_SOLUTION_FOUND,333.404,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,16,NO_SOLUTION_FOUND,335.459,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,17,NO_SOLUTION_FOUND,338.698,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,18,NO_SOLUTION_FOUND,328.684,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,19,NO_SOLUTION_FOUND,349.036,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,20,NO_SOLUTION_FOUND,341.264,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,21,NO_SOLUTION_FOUND,342.81,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,22,NO_SOLUTION_FOUND,336.274,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,23,NO_SOLUTION_FOUND,336.46,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,24,NO_SOLUTION_FOUND,335.455,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,25,SOLUTION_FOUND,340.153,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,26,NO_SOLUTION_FOUND,338.632,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,27,NO_SOLUTION_FOUND,326.708,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,28,NO_SOLUTION_FOUND,341.564,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
real,29,SOLUTION_FOUND,335.595,6,7,42,3000000,rz sx x cx,Windows-10-10.0.26100-SP0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",3.10.11,2.5.2
