backend,layers,blocks,circuit,arm,twoq,depth,size,layout,tvd_noisy,tvd_ideal,psf_fallbacks
fake_fez,2,3,6,Z,9,42,102,"[141, 142, 143, 136]",0.022199363942990692,0.021092163899785493,
fake_fez,2,3,7,Q3,9,34,90,"[141, 142, 143, 136]",0.028837468946171042,0.02020213294129331,
fake_fez,2,3,7,P,9,42,102,"[141, 142, 143, 136]",0.029087468946171043,0.02020213294129331,0
fake_fez,2,3,7,Z,9,42,102,"[141, 142, 143, 136]",0.028837468946171035,0.02020213294129331,
fake_fez,2,3,8,Q3,9,34,90,"[141, 142, 143, 136]",0.0337625286514427,0.020769836314659083,
fake_fez,2,3,8,P,9,42,102,"[141, 142, 143, 136]",0.03501252865144269,0.020769836314659083,0
fake_fez,2,3,8,Z,9,42,102,"[141, 142, 143, 136]",0.033012528651442705,0.020769836314659083,
fake_fez,2,3,9,Q3,9,34,90,"[141, 142, 143, 136]",0.030036229267142257,0.023537099305774235,
fake_fez,2,3,9,P,9,42,102,"[141, 142, 143, 136]",0.02941844451660751,0.023537099305774235,0
fake_fez,2,3,9,Z,9,42,102,"[141, 142, 143, 136]",0.03066844451660751,0.023537099305774235,
fake_fez,4,6,0,Q3,18,62,156,"[141, 142, 143, 136]",0.0324055302982888,0.020996284983273963,
fake_fez,4,6,0,P,18,78,180,"[141, 142, 143, 136]",0.0346555302982888,0.020996284983273963,0
fake_fez,4,6,0,Z,18,78,180,"[141, 142, 143, 136]",0.03240553029828879,0.020996284983273963,
fake_fez,4,6,1,Q3,18,62,156,"[141, 142, 143, 136]",0.03384926102178123,0.018883198290151886,
fake_fez,4,6,1,P,18,78,180,"[141, 142, 143, 136]",0.0342956592303826,0.018883198290151886,0
fake_fez,4,6,1,Z,18,78,180,"[141, 142, 143, 136]",0.0340456592303826,0.018883198290151886,
fake_fez,4,6,2,Q3,18,62,156,"[141, 142, 143, 136]",0.03131579779841645,0.01959496309450593,
fake_fez,4,6,2,P,18,78,180,"[141, 142, 143, 136]",0.03323845819957043,0.01959496309450593,0
fake_fez,4,6,2,Z,18,78,180,"[141, 142, 143, 136]",0.03298845819957043,0.01959496309450593,
fake_fez,4,6,3,Q3,18,62,156,"[141, 142, 143, 136]",0.042286193118747956,0.02226125165047675,
fake_fez,4,6,3,P,18,78,180,"[141, 142, 143, 136]",0.042786193118747956,0.02226125165047675,0
fake_fez,4,6,3,Z,18,78,180,"[141, 142, 143, 136]",0.036536193118747964,0.02226125165047675,
fake_fez,4,6,4,Q3,18,62,156,"[141, 142, 143, 136]",0.033900173975830436,0.02217165875126794,
fake_fez,4,6,4,P,18,78,180,"[141, 142, 143, 136]",0.03287195864503755,0.02217165875126794,0
fake_fez,4,6,4,Z,18,78,180,"[141, 142, 143, 136]",0.03284252395497393,0.02217165875126794,
fake_fez,4,6,5,Q3,18,62,156,"[141, 142, 143, 136]",0.045678614520091726,0.0222346272123458,
fake_fez,4,6,5,P,18,78,180,"[141, 142, 143, 136]",0.046178614520091726,0.0222346272123458,0
fake_fez,4,6,5,Z,18,78,180,"[141, 142, 143, 136]",0.046178614520091726,0.0222346272123458,
fake_fez,4,6,6,Q3,18,62,156,"[141, 142, 143, 136]",0.030591044014558557,0.023649547893212153,
fake_fez,4,6,6,P,18,78,180,"[141, 142, 143, 136]",0.029841044014558556,0.023649547893212153,0
fake_fez,4,6,6,Z,18,78,180,"[141, 142, 143, 136]",0.030591044014558557,0.023649547893212153,
fake_fez,4,6,7,Q3,18,62,156,"[141, 142, 143, 136]",0.031744348639195105,0.021684647747082772,
fake_fez,4,6,7,P,18,78,180,"[141, 142, 143, 136]",0.030744348639195115,0.021684647747082772,0
