family,k,m,order,j,n_bare,n_interaction_edges,max_interaction_degree,spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
n_bare_edges,,,,,17,37,2,0,64,1.0,32,0,3,0,10.865809700000682,32,32,True,True,0,9214.647599999807,9196.634292602539,0.0,9203.728675842285,0.9980451441900753,4627.132415771484,1.0020732879638672,4568.499803543091,0.0,VF2Layout,4627.132415771484,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
n_bare_edges,,,,,17,37,2,0,64,1.0,32,1,3,0,29.68600730000071,32,32,True,True,0,9283.972100000028,9263.339519500732,0.0,9271.659135818481,0.9977776128281024,4766.177415847778,2.408266067504883,4494.753837585449,0.0,VF2Layout,4766.177415847778,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
