Workload,Arm,Family,Qubits,Seed,Reps,Status,Time_min_s,Time_median_s,Time_stdev_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Off_Basis,PSF_Blocks,Peak_RSS_MB,RSS_Delta_MB,TraceMalloc_Peak_MB,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
dense,psf_rl2_cx,PSF-Zero,50,3,3,success,0.014253800000005867,0.014723700000104145,0.02887762026045399,75,16,0,,PSF-Zero Rust Core executed for 25/25 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,205.73046875,0.73046875,0.23737716674804688,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,100,1,3,success,0.023782200000368903,0.024509600000328646,0.030795470773252377,3000,225,0,,,241.8984375,3.77734375,0.28676605224609375,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,100,1,3,success,0.90263750000031,0.9049333999996634,0.003453685906806164,150,16,0,,,230.08203125,0.29296875,0.3031787872314453,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,100,1,3,success,12.985376100000394,21.22415220000039,7.215341435055073,150,16,0,,,228.90625,1.75,0.3058433532714844,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,100,1,3,success,0.01565100000016173,0.01658590000033655,0.0007584227733881141,150,23,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,208.203125,0.96484375,0.33478736877441406,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl2_cx,PSF-Zero,100,1,3,success,0.8885165000001507,0.8982120999999097,0.009114560406525345,150,16,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,209.54296875,0.39453125,0.35260009765625,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt1,Qiskit,100,2,3,success,0.023719199999959528,0.02511480000021038,0.030547779443334262,3000,225,0,,,240.55859375,4.0078125,0.2870454788208008,3.1086244689504383e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt2,Qiskit,100,2,3,success,0.8936268999996173,0.8970835000000079,0.03835873172182707,150,16,0,,,230.77734375,0.140625,0.3041810989379883,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,qiskit_opt3,Qiskit,100,2,3,success,10.599872799999957,15.907804299999952,5.992926157510991,150,16,0,,,228.25,0.15625,0.3025550842285156,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
dense,psf_rl1_cx,PSF-Zero,100,2,3,success,0.039073800000096526,0.050733800000216434,0.007068485818305928,150,23,0,,PSF-Zero Rust Core executed for 50/50 blocks (0 fell back); block_gate_floor=12; verify=False; entangling_basis=cx.,207.5234375,0.50390625,0.33388710021972656,1.5543122344752192e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
