spare,arm,lap,status,compile_s,lap_s,max_pair_distance,ops,routed_twoq,layout_changed,within_0.01s,within_0.1s,within_1.0s,within_10.0s
0,Q3,1,OK,12.890924782000184,13.174930178000068,3.37038365895091e-13,1920,180,False,False,False,False,False
0,Q3,2,OK,13.145061663999513,13.523854352999479,3.3762457817151674e-13,1920,180,False,False,False,False,False
0,Q3,3,OK,12.854149027999483,13.130830744999912,3.379793036409755e-13,1920,180,False,False,False,False,False
0,Q3,4,OK,12.823425479999969,13.102957305000018,3.385532435527734e-13,1920,180,False,False,False,False,False
0,Q3,5,OK,13.104160094999315,13.385073473000375,3.390204808974701e-13,1920,180,False,False,False,False,False
0,Q3,6,OK,13.160866109999915,13.4385411380008,3.3888426609391564e-13,1920,180,False,False,False,False,False
0,Q3,7,OK,13.07951587200023,13.360547520999717,3.3897180155191715e-13,1920,180,False,False,False,False,False
0,Q3,8,OK,12.891867886,13.171324413000548,3.391667660457553e-13,1920,180,False,False,False,False,False
0,Q3,9,OK,12.731066549999923,13.100886034999348,3.395736995705375e-13,1920,180,False,False,False,False,False
0,Q3,10,OK,12.971044735999385,13.255630548999761,3.4004524522422147e-13,1920,180,False,False,False,False,False
0,P,1,OK,0.04903706700042676,0.3648011529994619,6.212382644244772e-14,2220,180,False,False,True,True,True
0,P,2,OK,0.04651228000057017,0.3626082269993276,1.2374198934274482e-13,2220,180,False,False,True,True,True
0,P,3,OK,0.04805525299980218,0.3669656940001005,1.8939892637936261e-13,2220,180,False,False,True,True,True
0,P,4,OK,0.0531789739998203,0.3779012260001764,2.555810294401316e-13,2220,180,False,False,True,True,True
0,P,5,OK,0.04962295899986202,0.493690178000179,3.15718399319117e-13,2220,180,False,False,True,True,True
0,P,6,OK,0.04825440900003741,0.37168270900019706,3.7760786046854743e-13,2220,180,False,False,True,True,True
0,P,7,OK,0.04547847199955868,0.36353402900022047,4.4025917763809446e-13,2220,180,False,False,True,True,True
0,P,8,OK,0.04674647499996354,0.3623324899999716,5.017778489139431e-13,2220,180,False,False,True,True,True
0,P,9,OK,0.046113733000311186,0.3593312800003332,5.621536668432666e-13,2220,180,False,False,True,True,True
0,P,10,OK,0.04511772100067901,0.3535667989999638,6.214008092206646e-13,2220,180,False,False,True,True,True
8,Q3,1,OK,0.17354016499939462,0.5409136460002628,3.370682424663272e-13,1792,168,False,False,False,True,True
8,Q3,2,OK,0.14731273500001407,0.4154485989993191,3.380738839638853e-13,1792,168,True,False,False,True,True
8,Q3,3,OK,0.14933652499985328,0.4180956829995921,3.3928544610139555e-13,1792,168,False,False,False,True,True
8,Q3,4,OK,0.15227307799978007,0.41980916200009233,3.3887718917024735e-13,1792,168,False,False,False,True,True
8,Q3,5,OK,0.15353734500058636,0.41164795399981813,4.207930701869282e-13,1792,168,False,False,False,True,True
8,Q3,6,OK,0.1528540270001031,0.40652410200073064,5.09329629528554e-13,1792,168,False,False,False,True,True
8,Q3,7,OK,0.14825795700016897,0.4031100729998798,5.332442784200293e-13,1792,168,False,False,False,True,True
8,Q3,8,OK,0.14985391800018988,0.4132737879999695,5.689821726576006e-13,1792,168,False,False,False,True,True
8,Q3,9,OK,0.14840370799993252,0.5113130339996133,5.424712427944581e-13,1792,168,False,False,False,True,True
8,Q3,10,OK,0.14953870400040614,0.4083821459998944,4.3412313646885335e-13,1792,168,False,False,False,True,True
8,P,1,OK,0.04229466000015236,0.3280382279999685,6.212382644244772e-14,2072,168,False,False,True,True,True
8,P,2,OK,0.042008716000054847,0.329646313000012,1.2374198934274482e-13,2072,168,False,False,True,True,True
8,P,3,OK,0.05301185099961003,0.35170564399959403,1.8939892637936261e-13,2072,168,False,False,True,True,True
8,P,4,OK,0.04223832199932076,0.33591431900003954,2.555810294401316e-13,2072,168,False,False,True,True,True
8,P,5,OK,0.04329730900008144,0.3356714279998414,3.15718399319117e-13,2072,168,False,False,True,True,True
8,P,6,OK,0.04146974200011755,0.4383781779997662,3.7760786046854743e-13,2072,168,False,False,True,True,True
8,P,7,OK,0.0427531839995936,0.3334197280000808,4.4025917763809446e-13,2072,168,False,False,True,True,True
8,P,8,OK,0.04157289700015099,0.3299104220004665,5.017778489139431e-13,2072,168,False,False,True,True,True
8,P,9,OK,0.04135565399974439,0.32877807800014125,5.621536668432666e-13,2072,168,False,False,True,True,True
8,P,10,OK,0.04487130300003628,0.33790282200061483,6.214008092206646e-13,2072,168,False,False,True,True,True
