part,spare,seed,rep,pass_name,seconds
A-L1,0,1,0,ContractIdleWiresInControlFlow,5.9604644775390625e-06
A-L1,0,1,0,SetLayout,7.05718994140625e-05
A-L1,0,1,0,FullAncillaAllocation,2.1457672119140625e-05
A-L1,0,1,0,EnlargeWithAncilla,2.1457672119140625e-06
A-L1,0,1,0,ApplyLayout,0.00020933151245117188
A-L1,0,1,0,CheckMap,7.82012939453125e-05
A-L1,0,1,0,FilterOpNodes,0.0003571510314941406
A-L1,0,1,0,Size,6.4373016357421875e-06
A-L1,0,1,0,Depth,0.0002338886260986328
A-L1,0,1,0,FixedPoint,1.6689300537109375e-05
A-L1,0,1,0,Optimize1qGatesDecomposition,0.0018677711486816406
A-L1,0,1,0,GatesInBasis,0.00014138221740722656
A-L1,0,1,1,ContainsInstruction,1.1682510375976562e-05
A-L1,0,1,1,UnitarySynthesis,8.344650268554688e-06
A-L1,0,1,1,HighLevelSynthesis,0.00011801719665527344
A-L1,0,1,1,BasisTranslator,0.0012822151184082031
A-L1,0,1,1,InverseCancellation,0.0002512931823730469
A-L1,0,1,1,ContractIdleWiresInControlFlow,5.0067901611328125e-06
A-L1,0,1,1,SetLayout,6.008148193359375e-05
A-L1,0,1,1,FullAncillaAllocation,2.3603439331054688e-05
A-L1,0,1,1,EnlargeWithAncilla,1.9073486328125e-06
A-L1,0,1,1,ApplyLayout,0.000209808349609375
A-L1,0,1,1,CheckMap,8.177757263183594e-05
A-L1,0,1,1,FilterOpNodes,0.00040221214294433594
A-L1,0,1,1,Size,6.9141387939453125e-06
A-L1,0,1,1,Depth,0.0002033710479736328
A-L1,0,1,1,FixedPoint,1.9788742065429688e-05
A-L1,0,1,1,Optimize1qGatesDecomposition,0.001794576644897461
A-L1,0,1,1,GatesInBasis,0.00014448165893554688
A-L1,0,1,2,ContainsInstruction,1.0967254638671875e-05
A-L1,0,1,2,UnitarySynthesis,7.152557373046875e-06
A-L1,0,1,2,HighLevelSynthesis,0.0001163482666015625
A-L1,0,1,2,BasisTranslator,0.0013484954833984375
A-L1,0,1,2,InverseCancellation,0.00022721290588378906
A-L1,0,1,2,ContractIdleWiresInControlFlow,5.7220458984375e-06
A-L1,0,1,2,SetLayout,5.8650970458984375e-05
A-L1,0,1,2,FullAncillaAllocation,2.2172927856445312e-05
A-L1,0,1,2,EnlargeWithAncilla,2.1457672119140625e-06
A-L1,0,1,2,ApplyLayout,0.00023174285888671875
A-L1,0,1,2,CheckMap,0.00013828277587890625
A-L1,0,1,2,FilterOpNodes,0.0003879070281982422
A-L1,0,1,2,Size,6.4373016357421875e-06
A-L1,0,1,2,Depth,0.00025153160095214844
A-L1,0,1,2,FixedPoint,2.2172927856445312e-05
A-L1,0,1,2,Optimize1qGatesDecomposition,0.0030622482299804688
A-L1,0,1,2,GatesInBasis,0.0001308917999267578
A-L1,0,1,3,ContainsInstruction,1.0967254638671875e-05
A-L1,0,1,3,UnitarySynthesis,6.9141387939453125e-06
A-L1,0,1,3,HighLevelSynthesis,0.00011730194091796875
A-L1,0,1,3,BasisTranslator,0.0012125968933105469
A-L1,0,1,3,InverseCancellation,0.00022792816162109375
A-L1,0,1,3,ContractIdleWiresInControlFlow,4.5299530029296875e-06
A-L1,0,1,3,SetLayout,5.817413330078125e-05
A-L1,0,1,3,FullAncillaAllocation,2.2172927856445312e-05
A-L1,0,1,3,EnlargeWithAncilla,1.9073486328125e-06
A-L1,0,1,3,ApplyLayout,0.00020456314086914062
A-L1,0,1,3,CheckMap,0.00015783309936523438
A-L1,0,1,3,FilterOpNodes,0.0003440380096435547
A-L1,0,1,3,Size,6.67572021484375e-06
A-L1,0,1,3,Depth,0.000213623046875
A-L1,0,1,3,FixedPoint,1.811981201171875e-05
A-L1,0,1,3,Optimize1qGatesDecomposition,0.002547740936279297
A-L1,0,1,3,GatesInBasis,0.00012493133544921875
A-L1,0,1,4,ContainsInstruction,1.049041748046875e-05
A-L1,0,1,4,UnitarySynthesis,6.4373016357421875e-06
A-L1,0,1,4,HighLevelSynthesis,0.0001289844512939453
A-L1,0,1,4,BasisTranslator,0.0013992786407470703
A-L1,0,1,4,InverseCancellation,0.0002148151397705078
A-L1,0,1,4,ContractIdleWiresInControlFlow,4.5299530029296875e-06
A-L1,0,1,4,SetLayout,5.936622619628906e-05
A-L1,0,1,4,FullAncillaAllocation,2.2411346435546875e-05
A-L1,0,1,4,EnlargeWithAncilla,1.9073486328125e-06
A-L1,0,1,4,ApplyLayout,0.0002193450927734375
A-L1,0,1,4,CheckMap,9.131431579589844e-05
A-L1,0,1,4,FilterOpNodes,0.00039005279541015625
A-L1,0,1,4,Size,6.67572021484375e-06
A-L1,0,1,4,Depth,0.0002231597900390625
A-L1,0,1,4,FixedPoint,2.0265579223632812e-05
A-L1,0,1,4,Optimize1qGatesDecomposition,0.0033257007598876953
A-L1,0,1,4,GatesInBasis,0.0001347064971923828
A-L1,0,2,0,ContainsInstruction,1.2636184692382812e-05
A-L1,0,2,0,UnitarySynthesis,9.059906005859375e-06
A-L1,0,2,0,HighLevelSynthesis,0.00015044212341308594
A-L1,0,2,0,BasisTranslator,0.0014154911041259766
A-L1,0,2,0,InverseCancellation,0.00026416778564453125
A-L1,0,2,0,ContractIdleWiresInControlFlow,5.245208740234375e-06
A-L1,0,2,0,SetLayout,5.9604644775390625e-05
A-L1,0,2,0,FullAncillaAllocation,2.3365020751953125e-05
A-L1,0,2,0,EnlargeWithAncilla,1.6689300537109375e-06
A-L1,0,2,0,ApplyLayout,0.0002295970916748047
A-L1,0,2,0,CheckMap,0.00010275840759277344
A-L1,0,2,0,FilterOpNodes,0.0004336833953857422
A-L1,0,2,0,Size,7.3909759521484375e-06
A-L1,0,2,0,Depth,0.00022411346435546875
A-L1,0,2,0,FixedPoint,2.1457672119140625e-05
A-L1,0,2,0,Optimize1qGatesDecomposition,0.0027883052825927734
A-L1,0,2,0,GatesInBasis,0.0001392364501953125
A-L1,0,2,1,ContainsInstruction,1.1920928955078125e-05
A-L1,0,2,1,UnitarySynthesis,7.3909759521484375e-06
A-L1,0,2,1,HighLevelSynthesis,0.00012350082397460938
A-L1,0,2,1,BasisTranslator,0.0012822151184082031
A-L1,0,2,1,InverseCancellation,0.00023293495178222656
A-L1,0,2,1,ContractIdleWiresInControlFlow,4.0531158447265625e-06
A-L1,0,2,1,SetLayout,5.817413330078125e-05
A-L1,0,2,1,FullAncillaAllocation,3.695487976074219e-05
A-L1,0,2,1,EnlargeWithAncilla,2.6226043701171875e-06
A-L1,0,2,1,ApplyLayout,0.00021839141845703125
A-L1,0,2,1,CheckMap,8.630752563476562e-05
A-L1,0,2,1,FilterOpNodes,0.0003750324249267578
A-L1,0,2,1,Size,6.4373016357421875e-06
A-L1,0,2,1,Depth,0.0001876354217529297
A-L1,0,2,1,FixedPoint,1.8835067749023438e-05
A-L1,0,2,1,Optimize1qGatesDecomposition,0.0026094913482666016
A-L1,0,2,1,GatesInBasis,0.00012993812561035156
A-L1,0,2,2,ContainsInstruction,9.5367431640625e-06
A-L1,0,2,2,UnitarySynthesis,6.4373016357421875e-06
A-L1,0,2,2,HighLevelSynthesis,0.00011754035949707031
A-L1,0,2,2,BasisTranslator,0.0012650489807128906
A-L1,0,2,2,InverseCancellation,0.0002608299255371094
A-L1,0,2,2,ContractIdleWiresInControlFlow,5.3882598876953125e-05
A-L1,0,2,2,SetLayout,6.794929504394531e-05
A-L1,0,2,2,FullAncillaAllocation,2.288818359375e-05
A-L1,0,2,2,EnlargeWithAncilla,1.9073486328125e-06
A-L1,0,2,2,ApplyLayout,0.00021457672119140625
A-L1,0,2,2,CheckMap,7.843971252441406e-05
A-L1,0,2,2,FilterOpNodes,0.0003750324249267578
A-L1,0,2,2,Size,8.344650268554688e-06
