family,k,m,order,j,n_interaction_edges,max_interaction_degree,spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
merged_pairs,,0,,,21,1,0,42,1.0,21,0,3,0,11.993244199999026,21,21,True,True,0,18825.7397999987,18797.064781188965,0.0,18814.244508743286,0.9984768184881777,9598.140001296997,0.0,9198.924779891968,0.0,VF2Layout,9598.140001296997,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,0,,,21,1,0,42,1.0,21,0,3,1,30.823027599999477,21,21,True,True,0,7667.748100000608,7635.724782943726,0.0,7644.821405410767,0.9958236347048386,4409.197807312012,0.0,3226.526975631714,0.0,VF2Layout,4409.197807312012,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,0,,,21,1,0,42,1.0,21,1,3,0,45.113869499997236,21,21,True,True,0,6597.593300000881,6582.986116409302,0.0,6582.986116409302,0.9977859830202663,3283.177614212036,15.797138214111328,3284.0113639831543,0.0,VF2PostLayout,3284.0113639831543,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,0,,,21,1,0,42,1.0,21,1,3,1,51.71286619999955,21,21,True,True,0,6579.591899997467,6572.171211242676,0.0,6572.171211242676,0.9988721658018342,3283.735752105713,0.0,3288.435459136963,0.0,VF2PostLayout,3288.435459136963,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,0,,,21,1,0,42,1.0,21,2,3,0,64.96081459999914,21,21,True,True,0,6565.915200000745,6550.476312637329,0.0,6550.476312637329,0.9976486313189951,3283.5097312927246,16.890525817871094,3250.0760555267334,0.0,VF2Layout,3283.5097312927246,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,0,,,21,1,0,42,1.0,21,2,3,1,71.52826719999939,21,21,True,True,0,6635.3455999997095,6625.661611557007,0.0,6625.661611557007,0.9985405449803997,3268.3892250061035,14.915704727172852,3342.3566818237305,0.0,VF2PostLayout,3342.3566818237305,25,nonexistent solution,no better solution found,True,True,63,16,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,1,,,22,2,0,42,1.0,21,0,3,0,84.82479109999986,21,21,True,True,0,6530.841799998598,6519.58966255188,0.0,6535.490989685059,0.9982770770152907,3250.5006790161133,0.0,3269.0889835357666,0.0,VF2PostLayout,3269.0889835357666,25,nonexistent solution,no better solution found,True,True,66,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,1,,,22,2,0,42,1.0,21,0,3,1,91.35710639999888,21,21,True,True,0,6629.039100000227,6608.682870864868,0.0,6633.668899536133,0.9969292338107708,3270.1735496520996,0.0,3338.5093212127686,0.0,VF2PostLayout,3338.5093212127686,25,nonexistent solution,no better solution found,True,True,66,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,1,,,22,2,0,42,1.0,21,1,3,0,104.70078079999803,21,21,True,True,0,6654.62099999786,6649.211406707764,0.0,6654.128789901733,0.9991870922040341,3351.2778282165527,2.0399093627929688,3295.893669128418,0.0,VF2Layout,3351.2778282165527,25,nonexistent solution,no better solution found,True,True,66,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
merged_pairs,,1,,,22,2,0,42,1.0,21,1,3,1,111.35688540000046,21,21,True,True,0,6464.8302999994485,6455.644845962524,0.0,6455.644845962524,0.9985791654829788,3231.2097549438477,0.0,3224.4350910186768,0.0,VF2Layout,3231.2097549438477,25,nonexistent solution,no better solution found,True,True,66,38,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,6,7,42,20,42
