Axis,Qubits,Grid_Rows,Grid_Cols,Grid_Qubits,Spare_Qubits,Arm,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,Qiskit,StartMethod,CPU
C,64,8,8,64,0,qiskit_opt2,2,2,success,0.7656071000001248,0.7802697500000022,0.7949323999998796,96,16,0,Windows-10-10.0.26100-SP0,3.10.11,2.5.2,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
C,64,8,8,64,0,qiskit_opt3,1,2,success,8.961490400000002,8.97469245000002,8.987894500000039,96,16,0,Windows-10-10.0.26100-SP0,3.10.11,2.5.2,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
C,64,8,8,64,0,qiskit_opt3,2,2,success,8.894350499999973,8.967397849999998,9.040445200000022,96,16,0,Windows-10-10.0.26100-SP0,3.10.11,2.5.2,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
C,66,8,9,72,6,qiskit_opt2,1,2,success,0.018595000000004802,0.019399499999963155,0.020203999999921507,99,16,0,Windows-10-10.0.26100-SP0,3.10.11,2.5.2,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
C,66,8,9,72,6,qiskit_opt2,2,2,success,0.018055900000035763,0.019147000000089065,0.020238100000142367,99,16,0,Windows-10-10.0.26100-SP0,3.10.11,2.5.2,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
C,66,8,9,72,6,qiskit_opt3,1,2,success,0.0361707000001843,0.03711395000016182,0.038057200000139346,99,16,0,Windows-10-10.0.26100-SP0,3.10.11,2.5.2,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
C,66,8,9,72,6,qiskit_opt3,2,2,success,0.03544829999987087,0.036628049999876566,0.03780779999988226,99,16,0,Windows-10-10.0.26100-SP0,3.10.11,2.5.2,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
C,72,8,9,72,0,qiskit_opt2,1,2,success,0.7926607999997941,0.7973372499998277,0.8020136999998613,114,35,0,Windows-10-10.0.26100-SP0,3.10.11,2.5.2,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
C,72,8,9,72,0,qiskit_opt2,2,2,success,0.7853947999999491,0.7854789499999697,0.7855630999999903,108,16,0,Windows-10-10.0.26100-SP0,3.10.11,2.5.2,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
C,72,8,9,72,0,qiskit_opt3,1,2,success,9.13740410000014,9.247358250000048,9.357312399999955,111,19,0,Windows-10-10.0.26100-SP0,3.10.11,2.5.2,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
C,72,8,9,72,0,qiskit_opt3,2,2,success,9.177093799999966,9.260047899999904,9.343001999999842,108,16,0,Windows-10-10.0.26100-SP0,3.10.11,2.5.2,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
