p2,run,seed,iteration,loss
0.002,D_deep_red,1,7,-7.993484229034562
0.002,D_deep_red,1,8,-8.199966713934439
0.002,D_deep_red,1,9,-8.579346406347378
0.002,D_deep_red,1,10,-8.83405392480583
0.002,D_deep_red,1,11,-8.970739640417914
0.002,D_deep_red,1,12,-8.990865554203854
0.002,D_deep_red,1,13,-9.32724691911726
0.002,D_deep_red,1,14,-9.460770257891896
0.002,D_deep_red,1,15,-9.615875757526466
0.002,D_deep_red,1,16,-9.700456624716134
0.002,D_deep_red,1,17,-9.730599490545607
0.002,D_deep_red,1,18,-10.089077567139373
0.002,D_deep_red,1,19,-10.300527210506164
0.002,D_deep_red,1,20,-10.124332691844979
0.002,D_deep_red,1,21,-10.133887758904141
0.002,D_deep_red,1,22,-10.316906560610647
0.002,D_deep_red,1,23,-10.462287510927416
0.002,D_deep_red,1,24,-10.410458634901534
0.002,D_deep_red,1,25,-10.55574537249411
0.002,D_deep_red,1,26,-10.582350775380302
0.002,D_deep_red,1,27,-10.579738109361688
0.002,D_deep_red,1,28,-10.665592394389943
0.002,D_deep_red,1,29,-10.717058546390398
0.002,D_deep_red,1,30,-10.748676154499497
0.002,D_deep_red,1,31,-10.828823596921781
0.002,D_deep_red,1,32,-10.840536352746891
0.002,D_deep_red,1,33,-10.850947469976342
0.002,D_deep_red,1,34,-10.890371557794639
0.002,D_deep_red,1,35,-10.922389279407975
0.002,D_deep_red,1,36,-10.9837174265956
0.002,D_deep_red,1,37,-11.013331572267358
0.002,D_deep_red,1,38,-11.059778152670178
0.002,D_deep_red,1,39,-11.124199867027674
0.002,D_deep_red,1,40,-11.13092436781027
0.002,D_deep_red,1,41,-11.145301717649813
0.002,D_deep_red,1,42,-11.189517619814445
0.002,D_deep_red,1,43,-11.22470014321967
0.002,D_deep_red,1,44,-11.264767182580318
0.002,D_deep_red,1,45,-11.274548099211213
0.002,D_deep_red,1,46,-11.29203705366554
0.002,D_deep_red,1,47,-11.302719533063106
0.002,D_deep_red,1,48,-11.32264364106608
0.002,D_deep_red,1,49,-11.338460896766092
0.002,D_deep_red,1,50,-11.36472314369963
0.002,D_deep_red,1,51,-11.387186983683321
0.002,D_deep_red,1,52,-11.404993131438037
0.002,D_deep_red,1,53,-11.42396353677014
0.002,D_deep_red,1,54,-11.4437454477391
0.002,D_deep_red,1,55,-11.464783525770288
0.002,D_deep_red,1,56,-11.488175132317943
0.002,D_deep_red,1,57,-11.503060633066701
0.002,D_deep_red,1,58,-11.526085573780268
0.002,D_deep_red,1,59,-11.548211929683681
0.002,A_shallow_opt,1,0,0.11000329472081011
0.002,A_shallow_opt,1,1,-2.145562452158197
0.002,A_shallow_opt,1,2,-4.364135609856504
0.002,A_shallow_opt,1,3,-6.530591162335071
0.002,A_shallow_opt,1,4,-7.894264648299329
0.002,A_shallow_opt,1,5,-8.456988831759979
0.002,A_shallow_opt,1,6,-8.689908873046004
0.002,A_shallow_opt,1,7,-8.990147965656046
0.002,A_shallow_opt,1,8,-9.116502041159203
0.002,A_shallow_opt,1,9,-9.22619280119978
0.002,A_shallow_opt,1,10,-9.386757288770232
0.002,A_shallow_opt,1,11,-9.54085820997891
0.002,A_shallow_opt,1,12,-9.660201861340749
0.002,A_shallow_opt,1,13,-9.732600490389729
0.002,A_shallow_opt,1,14,-9.825548591245331
0.002,A_shallow_opt,1,15,-9.955615075747817
0.002,A_shallow_opt,1,16,-10.111642124217209
0.002,A_shallow_opt,1,17,-10.24602193805067
0.002,A_shallow_opt,1,18,-10.310054000289247
0.002,A_shallow_opt,1,19,-10.362450372500463
0.002,A_shallow_opt,1,20,-10.410893651350241
0.002,A_shallow_opt,1,21,-10.395596643509892
0.002,A_shallow_opt,1,22,-10.358750290207272
0.002,A_shallow_opt,1,23,-10.392691910963787
0.002,A_shallow_opt,1,24,-10.471485080341992
0.002,A_shallow_opt,1,25,-10.505975355016776
0.002,A_shallow_opt,1,26,-10.492830089936275
0.002,A_shallow_opt,1,27,-10.489842031859844
0.002,A_shallow_opt,1,28,-10.50246246716659
0.002,A_shallow_opt,1,29,-10.513444091311817
0.002,A_shallow_opt,1,30,-10.520315702849672
0.002,A_shallow_opt,1,31,-10.534678060904177
0.002,A_shallow_opt,1,32,-10.568636596725911
0.002,A_shallow_opt,1,33,-10.61089651759315
0.002,A_shallow_opt,1,34,-10.642403012480251
0.002,A_shallow_opt,1,35,-10.663030274140764
0.002,A_shallow_opt,1,36,-10.683832790651046
0.002,A_shallow_opt,1,37,-10.70669139037609
0.002,A_shallow_opt,1,38,-10.728140041790077
0.002,A_shallow_opt,1,39,-10.747440313086052
0.002,A_shallow_opt,1,40,-10.761478217526895
0.002,A_shallow_opt,1,41,-10.780217887633487
0.002,A_shallow_opt,1,42,-10.814869305996506
0.002,A_shallow_opt,1,43,-10.856985896470825
0.002,A_shallow_opt,1,44,-10.89252661304742
0.002,A_shallow_opt,1,45,-10.917249458688103
0.002,A_shallow_opt,1,46,-10.938173280832332
0.002,A_shallow_opt,1,47,-10.958584889636375
0.002,A_shallow_opt,1,48,-10.978998461127432
0.002,A_shallow_opt,1,49,-10.997550824399989
0.002,A_shallow_opt,1,50,-11.013784522212651
0.002,A_shallow_opt,1,51,-11.028682416351764
0.002,A_shallow_opt,1,52,-11.042856385646918
0.002,A_shallow_opt,1,53,-11.054419785783532
0.002,A_shallow_opt,1,54,-11.061805910883733
0.002,A_shallow_opt,1,55,-11.068029986822257
0.002,A_shallow_opt,1,56,-11.076594511175587
0.002,A_shallow_opt,1,57,-11.087408676616441
0.002,A_shallow_opt,1,58,-11.09936609223318
0.002,A_shallow_opt,1,59,-11.11211359839791
0.002,D_deep_red,2,0,0.5807956255267727
0.002,D_deep_red,2,1,-1.4783885472663119
0.002,D_deep_red,2,2,-2.9671107098184235
0.002,D_deep_red,2,3,-3.786792359199082
0.002,D_deep_red,2,4,-6.149549911406123
0.002,D_deep_red,2,5,-6.145052208746764
0.002,D_deep_red,2,6,-7.460157169737397
0.002,D_deep_red,2,7,-8.07476699221592
0.002,D_deep_red,2,8,-8.451780880195187
0.002,D_deep_red,2,9,-9.051708121164996
0.002,D_deep_red,2,10,-9.379910721474104
0.002,D_deep_red,2,11,-9.264719504129102
0.002,D_deep_red,2,12,-9.329492602600668
0.002,D_deep_red,2,13,-9.493321446521326
0.002,D_deep_red,2,14,-9.732200731297858
0.002,D_deep_red,2,15,-9.969349156041767
0.002,D_deep_red,2,16,-9.965551532240609
0.002,D_deep_red,2,17,-10.089706073135297
0.002,D_deep_red,2,18,-10.251800843460504
0.002,D_deep_red,2,19,-10.30258601358368
0.002,D_deep_red,2,20,-10.266842966700885
0.002,D_deep_red,2,21,-10.39059631124434
0.002,D_deep_red,2,22,-10.635954498695321
0.002,D_deep_red,2,23,-10.610830657024836
0.002,D_deep_red,2,24,-10.589940300268132
0.002,D_deep_red,2,25,-10.660606237633086
0.002,D_deep_red,2,26,-10.796929247982684
0.002,D_deep_red,2,27,-10.845516925280275
0.002,D_deep_red,2,28,-10.86114375592461
0.002,D_deep_red,2,29,-10.881571063347684
0.002,D_deep_red,2,30,-10.954653966227253
0.002,D_deep_red,2,31,-10.995872842425342
0.002,D_deep_red,2,32,-11.023664105606601
0.002,D_deep_red,2,33,-11.06886753619047
0.002,D_deep_red,2,34,-11.101516499776057
0.002,D_deep_red,2,35,-11.132491055137493
0.002,D_deep_red,2,36,-11.16792904833492
0.002,D_deep_red,2,37,-11.161924248660162
0.002,D_deep_red,2,38,-11.170497950154875
0.002,D_deep_red,2,39,-11.198083800964671
0.002,D_deep_red,2,40,-11.228777265115703
0.002,D_deep_red,2,41,-11.228048007959998
0.002,D_deep_red,2,42,-11.236792947056848
0.002,D_deep_red,2,43,-11.247744453995665
0.002,D_deep_red,2,44,-11.274481372256913
0.002,D_deep_red,2,45,-11.279301216881734
0.002,D_deep_red,2,46,-11.274677674246627
0.002,D_deep_red,2,47,-11.287340587091931
0.002,D_deep_red,2,48,-11.308084121483695
0.002,D_deep_red,2,49,-11.305977107410069
0.002,D_deep_red,2,50,-11.322077021945882
0.002,D_deep_red,2,51,-11.329109090559113
0.002,D_deep_red,2,52,-11.339396665909634
0.002,D_deep_red,2,53,-11.349106579111764
0.002,D_deep_red,2,54,-11.356678682633234
0.002,D_deep_red,2,55,-11.361495049268504
0.002,D_deep_red,2,56,-11.37504328791094
0.002,D_deep_red,2,57,-11.382770312674275
0.002,D_deep_red,2,58,-11.390117422113521
0.002,D_deep_red,2,59,-11.39664253056247
0.002,A_shallow_opt,2,0,-0.4814256360653252
0.002,A_shallow_opt,2,1,-3.1838034678198155
0.002,A_shallow_opt,2,2,-5.9758373853548665
0.002,A_shallow_opt,2,3,-8.047215870089095
0.002,A_shallow_opt,2,4,-8.25188058419519
0.002,A_shallow_opt,2,5,-8.434792960446897
0.002,A_shallow_opt,2,6,-8.523540629348327
0.002,A_shallow_opt,2,7,-8.381633508220588
0.002,A_shallow_opt,2,8,-8.548897848326177
0.002,A_shallow_opt,2,9,-8.803581305502226
0.002,A_shallow_opt,2,10,-8.918166908819694
0.002,A_shallow_opt,2,11,-9.083831573535559
0.002,A_shallow_opt,2,12,-9.247089897447228
0.002,A_shallow_opt,2,13,-9.299311015756007
0.002,A_shallow_opt,2,14,-9.371257091438867
0.002,A_shallow_opt,2,15,-9.514296014435073
0.002,A_shallow_opt,2,16,-9.643036489358634
0.002,A_shallow_opt,2,17,-9.727571914890977
0.002,A_shallow_opt,2,18,-9.80000753828466
0.002,A_shallow_opt,2,19,-9.883426580699076
0.002,A_shallow_opt,2,20,-9.947305794478027
0.002,A_shallow_opt,2,21,-9.992194620247185
0.002,A_shallow_opt,2,22,-10.096163303872405
0.002,A_shallow_opt,2,23,-10.229286209645167
0.002,A_shallow_opt,2,24,-10.298618954307123
0.002,A_shallow_opt,2,25,-10.33748176055962
0.002,A_shallow_opt,2,26,-10.397418856311486
0.002,A_shallow_opt,2,27,-10.447809077368467
0.002,A_shallow_opt,2,28,-10.471243022978243
0.002,A_shallow_opt,2,29,-10.491741609660698
0.002,A_shallow_opt,2,30,-10.530310871806565
0.002,A_shallow_opt,2,31,-10.589588447751673
0.002,A_shallow_opt,2,32,-10.660418272824968
0.002,A_shallow_opt,2,33,-10.724225177865238
0.002,A_shallow_opt,2,34,-10.762610511413211
0.002,A_shallow_opt,2,35,-10.786292026052356
0.002,A_shallow_opt,2,36,-10.81828760977481
0.002,A_shallow_opt,2,37,-10.86037156093548
0.002,A_shallow_opt,2,38,-10.908603863478513
0.002,A_shallow_opt,2,39,-10.954582892001286
0.002,A_shallow_opt,2,40,-10.985247069491189
0.002,A_shallow_opt,2,41,-11.007231639840295
0.002,A_shallow_opt,2,42,-11.037980642739441
0.002,A_shallow_opt,2,43,-11.076081094189046
0.002,A_shallow_opt,2,44,-11.100141613060309
0.002,A_shallow_opt,2,45,-11.108973961211834
0.002,A_shallow_opt,2,46,-11.117655757504028
0.002,A_shallow_opt,2,47,-11.122989403693769
0.002,A_shallow_opt,2,48,-11.126182754814955
0.002,A_shallow_opt,2,49,-11.136228762267624
0.002,A_shallow_opt,2,50,-11.14718693298805
0.002,A_shallow_opt,2,51,-11.15368722164236
0.002,A_shallow_opt,2,52,-11.159277102346497
0.002,A_shallow_opt,2,53,-11.165433199601901
0.002,A_shallow_opt,2,54,-11.172538584666528
0.002,A_shallow_opt,2,55,-11.180692408918953
0.002,A_shallow_opt,2,56,-11.186432708814198
0.002,A_shallow_opt,2,57,-11.189531476519981
0.002,A_shallow_opt,2,58,-11.19349858881875
0.002,A_shallow_opt,2,59,-11.197271416708347
0.005,D_deep_red,0,0,0.26477526413618185
0.005,D_deep_red,0,1,-1.3323307123745303
0.005,D_deep_red,0,2,-1.5818861949220973
0.005,D_deep_red,0,3,-2.810474358546925
0.005,D_deep_red,0,4,-4.073140481919508
0.005,D_deep_red,0,5,-4.912347347745638
0.005,D_deep_red,0,6,-6.476973102562005
0.005,D_deep_red,0,7,-7.512496234930816
0.005,D_deep_red,0,8,-7.786974566588238
0.005,D_deep_red,0,9,-8.04038343395814
0.005,D_deep_red,0,10,-8.499189543077835
0.005,D_deep_red,0,11,-8.768876655322126
0.005,D_deep_red,0,12,-8.849362324374018
0.005,D_deep_red,0,13,-8.752645412647675
0.005,D_deep_red,0,14,-8.83411992797759
0.005,D_deep_red,0,15,-9.170188092549513
0.005,D_deep_red,0,16,-9.316192584623028
0.005,D_deep_red,0,17,-9.263550672585838
0.005,D_deep_red,0,18,-9.333627145381657
0.005,D_deep_red,0,19,-9.472407792852142
0.005,D_deep_red,0,20,-9.566756080619637
0.005,D_deep_red,0,21,-9.594732085005804
0.005,D_deep_red,0,22,-9.62446358390929
0.005,D_deep_red,0,23,-9.692339277249225
0.005,D_deep_red,0,24,-9.783869689538994
0.005,D_deep_red,0,25,-9.92565630509213
0.005,D_deep_red,0,26,-9.948055491248661
0.005,D_deep_red,0,27,-9.956214036888662
0.005,D_deep_red,0,28,-10.031645693984172
0.005,D_deep_red,0,29,-10.067034195127567
0.005,D_deep_red,0,30,-10.107167173757524
0.005,D_deep_red,0,31,-10.145507519001868
0.005,D_deep_red,0,32,-10.183615200381372
0.005,D_deep_red,0,33,-10.218411700672284
0.005,D_deep_red,0,34,-10.249103383907357
0.005,D_deep_red,0,35,-10.271360361267615
0.005,D_deep_red,0,36,-10.276801088053867
0.005,D_deep_red,0,37,-10.301874575065638
0.005,D_deep_red,0,38,-10.33116520057989
0.005,D_deep_red,0,39,-10.360433316340718
0.005,D_deep_red,0,40,-10.3980212637265
0.005,D_deep_red,0,41,-10.418420156298303
0.005,D_deep_red,0,42,-10.439507900758846
0.005,D_deep_red,0,43,-10.459787285682825
0.005,D_deep_red,0,44,-10.459767334247845
0.005,D_deep_red,0,45,-10.490249622965242
0.005,D_deep_red,0,46,-10.502464788046801
0.005,D_deep_red,0,47,-10.51311243851838
0.005,D_deep_red,0,48,-10.515600564766096
0.005,D_deep_red,0,49,-10.53424181591155
0.005,D_deep_red,0,50,-10.53389527328527
0.005,D_deep_red,0,51,-10.537473629080061
0.005,D_deep_red,0,52,-10.551427679873544
0.005,D_deep_red,0,53,-10.557759221185394
0.005,D_deep_red,0,54,-10.563441084835397
0.005,D_deep_red,0,55,-10.570886337736962
0.005,D_deep_red,0,56,-10.581246000017561
0.005,D_deep_red,0,57,-10.589486208707923
0.005,D_deep_red,0,58,-10.595447325965983
0.005,D_deep_red,0,59,-10.604905359585045
0.005,A_shallow_opt,0,0,-0.7952003590495661
0.005,A_shallow_opt,0,1,-4.149062886072211
0.005,A_shallow_opt,0,2,-5.244037871936855
0.005,A_shallow_opt,0,3,-6.4667581897648665
0.005,A_shallow_opt,0,4,-7.347480106224005
0.005,A_shallow_opt,0,5,-7.845209645553503
0.005,A_shallow_opt,0,6,-8.130204784320643
0.005,A_shallow_opt,0,7,-8.162699478143212
0.005,A_shallow_opt,0,8,-8.14505885760409
0.005,A_shallow_opt,0,9,-8.362333914255299
0.005,A_shallow_opt,0,10,-8.633959709376418
0.005,A_shallow_opt,0,11,-8.75361801310441
0.005,A_shallow_opt,0,12,-8.764986840043754
0.005,A_shallow_opt,0,13,-8.776438235439214
0.005,A_shallow_opt,0,14,-8.8477995459752
0.005,A_shallow_opt,0,15,-9.006180739667588
0.005,A_shallow_opt,0,16,-9.195029428651518
0.005,A_shallow_opt,0,17,-9.309727859874243
0.005,A_shallow_opt,0,18,-9.380131584434071
0.005,A_shallow_opt,0,19,-9.510291111952217
0.005,A_shallow_opt,0,20,-9.6402283983827
0.005,A_shallow_opt,0,21,-9.689565488282918
0.005,A_shallow_opt,0,22,-9.709229940034412
0.005,A_shallow_opt,0,23,-9.763254461676189
0.005,A_shallow_opt,0,24,-9.842354405645024
0.005,A_shallow_opt,0,25,-9.902034681066432
0.005,A_shallow_opt,0,26,-9.935702629661167
0.005,A_shallow_opt,0,27,-9.941304239283312
0.005,A_shallow_opt,0,28,-9.923477682280486
0.005,A_shallow_opt,0,29,-9.927124194021744
0.005,A_shallow_opt,0,30,-9.948832795654184
0.005,A_shallow_opt,0,31,-9.958619333155823
0.005,A_shallow_opt,0,32,-9.967917672177709
0.005,A_shallow_opt,0,33,-9.980796952946346
0.005,A_shallow_opt,0,34,-9.985920577359888
0.005,A_shallow_opt,0,35,-9.97954526794647
0.005,A_shallow_opt,0,36,-9.974852461967398
0.005,A_shallow_opt,0,37,-9.982535401344371
0.005,A_shallow_opt,0,38,-9.989486005911731
0.005,A_shallow_opt,0,39,-10.001638884243206
0.005,A_shallow_opt,0,40,-10.019633356445762
0.005,A_shallow_opt,0,41,-10.02871594203646
0.005,A_shallow_opt,0,42,-10.03024990590619
0.005,A_shallow_opt,0,43,-10.031688482421924
0.005,A_shallow_opt,0,44,-10.03635124359156
0.005,A_shallow_opt,0,45,-10.040592667483544
0.005,A_shallow_opt,0,46,-10.04690257081979
0.005,A_shallow_opt,0,47,-10.051790862904374
0.005,A_shallow_opt,0,48,-10.052607124152978
0.005,A_shallow_opt,0,49,-10.053431266293863
0.005,A_shallow_opt,0,50,-10.057449233536007
0.005,A_shallow_opt,0,51,-10.066046218849873
0.005,A_shallow_opt,0,52,-10.073850508501225
0.005,A_shallow_opt,0,53,-10.077093829087747
0.005,A_shallow_opt,0,54,-10.077303056755285
0.005,A_shallow_opt,0,55,-10.079451774169067
0.005,A_shallow_opt,0,56,-10.083336790517947
0.005,A_shallow_opt,0,57,-10.090363517840665
0.005,A_shallow_opt,0,58,-10.098260288200724
0.005,A_shallow_opt,0,59,-10.103910287585613
0.005,D_deep_red,1,0,0.2584508222855143
0.005,D_deep_red,1,1,-1.523031622220895
