Arm,Family,OutputBasis,Group,Qubits,GatesPerPair,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Time_stdev_s,Peak_RSS_MB,Baseline_RSS_MB,RSS_Delta_MB,RSS_Samples,TraceMalloc_Peak_MB,Gates_total,Gates_2q,Depth,Fallbacks,Equiv_Infidelity,Platform,Python,Qiskit,StartMethod,CPU
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,5,5,success,0.0007337999995797873,0.000829099997645244,0.0009643999983381946,8.777087767487906e-05,154.66796875,154.03515625,0.6328125,55,0.03772258758544922,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,5,5,success,0.0040859000000637025,0.004349899998487672,0.005031200002122205,0.00036525358797437487,154.7890625,154.4765625,0.3125,21,0.05805206298828125,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,6,5,success,0.005487099999299971,0.0064598000026308,0.007206500002212124,0.0006806257403167142,206.03125,205.37109375,0.66015625,54,0.1144723892211914,196,21,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,6,5,success,0.0007535000004281756,0.0008135000025504269,0.0008525999983248767,3.796797275625631e-05,154.484375,153.74609375,0.73828125,78,0.03873729705810547,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,6,5,success,0.0040609999996377155,0.004255100000591483,0.004307100000005448,9.56388105276315e-05,154.8671875,154.48828125,0.37890625,22,0.06087017059326172,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,7,5,success,0.005235299999185372,0.0062527000009140465,0.006717399999615736,0.0007114490869676867,206.234375,205.53125,0.703125,66,0.11487579345703125,196,21,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,7,5,success,0.0007742999987385701,0.00083470000026864,0.0009251000010408461,5.564124465531967e-05,154.4921875,153.8828125,0.609375,58,0.036841392517089844,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical_strict,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,7,5,success,0.004198799997539027,0.004801600000064354,0.005718000000342727,0.0005533391537071647,154.82421875,154.453125,0.37109375,26,0.05780601501464844,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
qiskit_opt3,Qiskit,rz/sx/x/cx,consolidated,15,20,8,5,success,0.005102199997054413,0.006256900000153109,0.0066401000003679655,0.0007299346880393632,206.29296875,205.65625,0.63671875,52,0.11431026458740234,196,21,16,,3.774758283725532e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
psf_canonical,PSF-Zero,rxx/ryy/rzz + rz/ry,consolidated,15,20,8,5,success,0.0007538999998359941,0.0008568000012019183,0.00090730000010808,5.913964034974027e-05,155.16796875,154.421875,0.74609375,67,0.036841392517089844,105,21,9,,3.3306690738754696e-15,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
