Round,Spare,Qubits,LayoutSearch,Seed,Arm,Time_s,Status,Error,FidelityCheck,FidelityDetail,Infidelity,TwoQubitGates,CouplingViolations,Depth,QiskitLevel,RoutingOptimizationLevel,Grid,Timestamp
1,0,42,-,0,qiskit_opt3,7.710593200000176,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-17T08:54:27.270820
1,0,42,False,0,psf_zero_ls0,0.024275600000009945,success,,structural_only,,,132,0,45,3,1,6x7,2026-09-17T08:54:34.991102
1,0,42,True,0,psf_zero_ls1,0.1673283000000083,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-17T08:54:35.008123
1,0,42,-,1,qiskit_opt3,10.751926999999796,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-17T08:54:35.239780
1,0,42,False,1,psf_zero_ls0,0.08453699999995479,success,,structural_only,,,129,0,28,3,1,6x7,2026-09-17T08:54:45.991507
1,0,42,True,1,psf_zero_ls1,0.05411540000000059,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-17T08:54:46.093990
1,0,42,-,2,qiskit_opt3,19.24294409999993,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-17T08:54:46.459646
1,0,42,False,2,psf_zero_ls0,0.1926230999999916,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-17T08:55:05.706923
1,0,42,True,2,psf_zero_ls1,0.06030450000002929,success,,structural_only,,,126,0,22,3,1,6x7,2026-09-17T08:55:05.897987
1,2,40,-,0,qiskit_opt3,0.07239540000000488,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-17T08:55:06.217446
1,2,40,False,0,psf_zero_ls0,0.03987959999994928,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-17T08:55:06.311161
1,2,40,True,0,psf_zero_ls1,0.04048290000014276,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-17T08:55:06.358786
1,2,40,-,1,qiskit_opt3,0.07041909999998097,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-17T08:55:06.679149
1,2,40,False,1,psf_zero_ls0,0.03791989999990619,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-17T08:55:06.758424
1,2,40,True,1,psf_zero_ls1,0.039967899999965084,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-17T08:55:06.806206
1,2,40,-,2,qiskit_opt3,0.06866680000007364,success,,structural_only,,,60,0,16,3,1,6x7,2026-09-17T08:55:07.107948
1,2,40,False,2,psf_zero_ls0,0.026758500000141794,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-17T08:55:07.187132
1,2,40,True,2,psf_zero_ls1,0.03886790000001383,success,,structural_only,,,120,0,22,3,1,6x7,2026-09-17T08:55:07.234601
1,4,38,-,0,qiskit_opt3,0.0833325999999488,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-17T08:55:07.536451
1,4,38,False,0,psf_zero_ls0,0.037332299999889074,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-17T08:55:07.632026
1,4,38,True,0,psf_zero_ls1,0.03531980000002477,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-17T08:55:07.679698
1,4,38,-,1,qiskit_opt3,0.07978539999999157,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-17T08:55:07.955480
1,4,38,False,1,psf_zero_ls0,0.03975939999986622,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-17T08:55:08.029392
1,4,38,True,1,psf_zero_ls1,0.03724880000004305,success,,structural_only,,,114,0,22,3,1,6x7,2026-09-17T08:55:08.077141
1,4,38,-,2,qiskit_opt3,0.08757260000015776,success,,structural_only,,,57,0,16,3,1,6x7,2026-09-17T08:55:08.379293
