converter,family,tape,step,fp0,fp_equal,rt_infid,meaning_infid,n_ops
NEW,F1_int_wires,seed0,52,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,53,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,54,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,55,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,56,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,57,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,58,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,59,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,60,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,61,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,62,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,63,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,64,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,65,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,66,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,67,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,68,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,69,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,70,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,71,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,72,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,73,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,74,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,75,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,76,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,77,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,78,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,79,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,80,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,81,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,82,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,83,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,84,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,85,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,86,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,87,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,88,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,89,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,90,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,91,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,92,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,93,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,94,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,95,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,96,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,97,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,98,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,99,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
NEW,F1_int_wires,seed0,100,d9718e62937de449,1,1.2212453270876722e-15,9.992007221626409e-16,20
OLD,F1_int_wires,seed0,1,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,2,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,3,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,4,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,5,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,6,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,7,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,8,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,9,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,10,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,11,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,12,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,13,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,14,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,15,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,16,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,17,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,18,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,19,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,20,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,21,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,22,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,23,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,24,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,25,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,26,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,27,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,28,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
OLD,F1_int_wires,seed0,29,d9718e62937de449,1,1.2212453270876722e-15,0.9364286132764482,20
