spare,n,seed,arm,routing_optimization_level,repeat,time_ms,two_qubit_gates,depth,error,elapsed_since_start_s,fallback_count,cpu,python_version,qiskit_version,grid_rows,grid_cols,seed_transpiler
0,64,0,qiskit_opt3,,0,8173.914299999524,96,16,,20.552177200000187,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,0,qiskit_opt3,,1,8257.264099999702,96,16,,28.811251699999957,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,0,qiskit_opt3,,2,8224.696199999926,96,16,,37.03782339999998,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,0,psf_zero_ls0,1.0,0,13.427400000182388,96,23,,37.081933699999354,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,0,psf_zero_ls0,1.0,1,14.420200000131445,96,23,,37.09907909999947,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,0,psf_zero_ls0,1.0,2,15.20520000030956,96,23,,37.117037099999834,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,0,psf_zero_ls1,1.0,0,25.219999999535503,96,23,,38.178202999999485,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,0,psf_zero_ls1,1.0,1,27.674300000398944,96,23,,38.20850059999975,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,0,psf_zero_ls1,1.0,2,23.194800000055693,96,23,,38.234451100000115,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,1,qiskit_opt3,,0,8198.15700000072,96,16,,54.76105310000003,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,1,qiskit_opt3,,1,8214.844199999789,96,16,,62.97779069999979,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,1,qiskit_opt3,,2,8291.882099999384,96,16,,71.27156229999946,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,1,psf_zero_ls0,1.0,0,14.282799999818963,96,23,,71.3089973999995,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,1,psf_zero_ls0,1.0,1,15.064199999869743,96,23,,71.32681289999982,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,1,psf_zero_ls0,1.0,2,14.76730000013049,96,23,,71.34453519999988,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,1,psf_zero_ls1,1.0,0,22.11729999999079,96,23,,71.39364409999962,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,1,psf_zero_ls1,1.0,1,25.96079999966605,96,23,,71.42429759999959,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,1,psf_zero_ls1,1.0,2,24.204700000154844,96,23,,71.45116129999951,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,2,qiskit_opt3,,0,8195.164799999475,96,16,,88.01561570000013,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,2,qiskit_opt3,,1,8171.208599999773,96,16,,96.18862100000024,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,2,qiskit_opt3,,2,8171.200499999941,96,16,,104.36168180000004,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,2,psf_zero_ls0,1.0,0,21.779800000331306,96,23,,104.4077757999994,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,2,psf_zero_ls0,1.0,1,15.28870000038296,96,23,,104.42568089999986,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,2,psf_zero_ls0,1.0,2,16.069100000095204,96,23,,104.44441240000015,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,2,psf_zero_ls1,1.0,0,24.558299999625888,96,23,,104.49438479999935,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,2,psf_zero_ls1,1.0,1,23.592700000335753,96,23,,104.52079099999992,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
0,64,2,psf_zero_ls1,1.0,2,23.55580000039481,96,23,,104.54702879999968,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,8,8,42
