family,k,m,order,j,n_bare,dominant_size,n_interaction_edges,max_interaction_degree,spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
dominant_size_sweep,,,,,,2,45,2,0,64,1.0,32,0,3,0,1.6373989999992773,32,32,True,True,0,37.09379999963858,15.500068664550781,0.0,21.569490432739258,0.4178614395047638,15.500068664550781,0.0,0.0,0.0,VF2Layout,15.500068664550781,26,solution found,no better solution found,True,True,135,302,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,2,45,2,0,64,1.0,32,0,3,1,1.678926999999021,32,32,True,True,0,34.7818999998708,16.065120697021484,0.0,22.415637969970703,0.46188163087931244,16.065120697021484,0.0,0.0,0.0,VF2Layout,16.065120697021484,26,solution found,no better solution found,True,True,135,302,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,2,45,2,0,64,1.0,32,1,3,0,1.98673719999897,32,32,True,True,0,33.45660000013595,15.060901641845703,0.0,22.45354652404785,0.4501623488873497,15.060901641845703,0.0,0.0,0.0,VF2Layout,15.060901641845703,26,solution found,no better solution found,True,True,135,302,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,2,45,2,0,64,1.0,32,1,3,1,2.0242082999993727,32,32,True,True,0,33.34020000147575,15.12908935546875,0.0,22.314786911010742,0.4537792021283341,15.12908935546875,0.0,0.0,0.0,VF2Layout,15.12908935546875,26,solution found,no better solution found,True,True,135,302,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,2,45,2,0,64,1.0,32,2,3,0,2.3247259999989183,32,32,True,True,0,34.268100000190316,16.003847122192383,0.0,23.44822883605957,0.4670188053059114,15.002965927124023,0.0,0.0,0.0,VF2Layout,15.002965927124023,26,solution found,no better solution found,True,True,135,302,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,2,45,2,0,64,1.0,32,2,3,1,2.3630178999992495,32,32,True,True,0,37.863899999138084,17.36760139465332,0.0,26.037931442260742,0.45868495836532075,16.326427459716797,0.0,1.0411739349365234,0.0,VF2Layout,16.326427459716797,26,solution found,no better solution found,True,True,135,302,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,3,45,2,0,64,1.0,32,0,3,0,11.597721299998739,32,32,True,True,0,8719.974699999511,8701.3418674469,0.0,8709.288597106934,0.997863201076419,4380.254507064819,2.1390914916992188,4318.948268890381,0.0,VF2Layout,4380.254507064819,25,nonexistent solution,no better solution found,True,True,159,345,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,3,45,2,0,64,1.0,32,0,3,1,20.321892699999808,32,32,True,True,0,8690.36960000085,8670.673608779907,0.0,8678.935527801514,0.9977335841710414,4359.230995178223,2.0401477813720703,4309.4024658203125,0.0,VF2Layout,4359.230995178223,25,nonexistent solution,no better solution found,True,True,159,345,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,3,45,2,0,64,1.0,32,1,3,0,38.08012289999897,32,32,True,True,0,8831.578600000284,8812.781810760498,0.0,8819.83733177185,0.9978716387985511,4425.735712051392,2.1398067474365234,4384.90629196167,0.0,VF2Layout,4425.735712051392,25,nonexistent solution,no better solution found,True,True,159,345,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
dominant_size_sweep,,,,,,3,45,2,0,64,1.0,32,1,3,1,46.915971299999,32,32,True,True,0,9144.010099998923,9123.657941818237,0.0,9133.267402648926,0.9977742633748089,4624.25422668457,1.0018348693847656,4498.401880264282,0.0,VF2Layout,4624.25422668457,25,nonexistent solution,no better solution found,True,True,159,345,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
