Axis,Qubits,Grid_Rows,Grid_Cols,Grid_Qubits,Spare_Qubits,Arm,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,Qiskit,StartMethod,CPU
C,64,8,8,64,0,qiskit_opt2,2,2,success,0.7028663000000961,0.7032672000004823,0.7036681000008684,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,64,8,8,64,0,qiskit_opt3,1,2,success,8.169087800000852,8.18708400000014,8.20508019999943,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,64,8,8,64,0,qiskit_opt3,2,2,success,8.199175699999614,8.21274319999975,8.226310699999885,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,66,8,9,72,6,qiskit_opt2,1,2,success,0.01762830000006943,0.020739249999678577,0.023850199999287724,99,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,66,8,9,72,6,qiskit_opt2,2,2,success,0.014036599999599275,0.016016249999665888,0.0179958999997325,99,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,66,8,9,72,6,qiskit_opt3,1,2,success,0.034831900000426685,0.03546755000024859,0.0361032000000705,99,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,66,8,9,72,6,qiskit_opt3,2,2,success,0.03783589999875403,0.04015054999945278,0.042465200000151526,99,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,72,8,9,72,0,qiskit_opt2,1,2,success,0.722105200000442,0.7229844500006948,0.7238637000009476,108,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,72,8,9,72,0,qiskit_opt2,2,2,success,0.7179281999997329,0.723033750000468,0.7281393000012031,108,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,72,8,9,72,0,qiskit_opt3,1,2,success,8.28053220000038,8.283848600000965,8.28716500000155,108,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,72,8,9,72,0,qiskit_opt3,2,2,success,8.309241400000246,17.11880849999943,25.928375599998617,114,35,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
