family,eps,seed,method,aligned_err,twoq
"(0.6,0.3,e)",0.0031622776601683794,13,decomposer ZSX (as PSF-Zero),2.5294359214052544e-14,3
"(0.6,0.3,e)",0.0031622776601683794,13,decomposer default Euler,1.5693720489862912e-15,3
"(0.6,0.3,e)",0.0031622776601683794,13,"transpile L1 [cx,rz,sx,x]",2.5294359214052544e-14,3
"(0.6,0.3,e)",0.0031622776601683794,13,"transpile L2 [cx,rz,sx,x]",2.5294359214052544e-14,3
"(0.6,0.3,e)",0.0031622776601683794,13,"transpile L3 [cx,rz,sx,x]",2.5294359214052544e-14,3
"(0.6,0.3,e)",0.0031622776601683794,13,transpile L1 GenericBackendV2 cz,1.1296001766624444e-14,3
"(0.6,0.3,e)",0.0031622776601683794,13,transpile L3 GenericBackendV2 cz,2.9426027846064783e-15,3
"(0.6,0.3,e)",0.0031622776601683794,13,PSF-Zero old path,1.263154575560689e-14,3
"(0.6,0.3,e)",0.0031622776601683794,13,PSF-Zero closed form,1.2132817056485426e-15,3
"(0.6,0.3,e)",0.0031622776601683794,101,decomposer ZSX (as PSF-Zero),2.3937596015309727e-14,3
"(0.6,0.3,e)",0.0031622776601683794,101,decomposer default Euler,1.5735165940165561e-15,3
"(0.6,0.3,e)",0.0031622776601683794,101,"transpile L1 [cx,rz,sx,x]",2.3937596015309727e-14,3
"(0.6,0.3,e)",0.0031622776601683794,101,"transpile L2 [cx,rz,sx,x]",2.3937596015309727e-14,3
"(0.6,0.3,e)",0.0031622776601683794,101,"transpile L3 [cx,rz,sx,x]",2.3937596015309727e-14,3
"(0.6,0.3,e)",0.0031622776601683794,101,transpile L1 GenericBackendV2 cz,1.1811693295559333e-14,3
"(0.6,0.3,e)",0.0031622776601683794,101,transpile L3 GenericBackendV2 cz,1.9581701210001565e-15,3
"(0.6,0.3,e)",0.0031622776601683794,101,PSF-Zero old path,1.3179606674934606e-14,3
"(0.6,0.3,e)",0.0031622776601683794,101,PSF-Zero closed form,1.4691141553477368e-15,3
"(0.6,0.3,e)",0.0031622776601683794,202,decomposer ZSX (as PSF-Zero),2.4386744661342288e-14,3
"(0.6,0.3,e)",0.0031622776601683794,202,decomposer default Euler,2.7602263424541413e-15,3
"(0.6,0.3,e)",0.0031622776601683794,202,"transpile L1 [cx,rz,sx,x]",2.4386744661342288e-14,3
"(0.6,0.3,e)",0.0031622776601683794,202,"transpile L2 [cx,rz,sx,x]",2.4386744661342288e-14,3
"(0.6,0.3,e)",0.0031622776601683794,202,"transpile L3 [cx,rz,sx,x]",2.4386744661342288e-14,3
"(0.6,0.3,e)",0.0031622776601683794,202,transpile L1 GenericBackendV2 cz,1.0150696435937159e-14,3
"(0.6,0.3,e)",0.0031622776601683794,202,transpile L3 GenericBackendV2 cz,4.044274056700787e-15,3
"(0.6,0.3,e)",0.0031622776601683794,202,PSF-Zero old path,1.2934676271240834e-14,3
"(0.6,0.3,e)",0.0031622776601683794,202,PSF-Zero closed form,1.7261753817616404e-15,3
"(0.6,0.3,e)",0.0017782794100389228,13,decomposer ZSX (as PSF-Zero),4.2441867846973554e-14,3
"(0.6,0.3,e)",0.0017782794100389228,13,decomposer default Euler,3.103235398363571e-15,3
"(0.6,0.3,e)",0.0017782794100389228,13,"transpile L1 [cx,rz,sx,x]",4.2441867846973554e-14,3
"(0.6,0.3,e)",0.0017782794100389228,13,"transpile L2 [cx,rz,sx,x]",4.2441867846973554e-14,3
"(0.6,0.3,e)",0.0017782794100389228,13,"transpile L3 [cx,rz,sx,x]",4.2441867846973554e-14,3
"(0.6,0.3,e)",0.0017782794100389228,13,transpile L1 GenericBackendV2 cz,2.0305943787141165e-14,3
