pair,err_psf,err_qiskit,weyl_a,weyl_b,weyl_c,gap_eig,gap_re,gap_im
0,6.180590278673951e-14,7.971374742108362e-15,0.5737948611100343,0.4190262811719194,-0.05749409248671422,0.6092356511936877,0.06990062283078402,0.543490204390275
1,1.0248564261299256e-12,3.789527157099041e-15,0.5965877489485409,0.4803817444997323,-0.2239467091077425,0.46065070020815335,0.19949294151372166,0.36183726840698593
2,1.8265746931098948e-14,1.4034200680236755e-14,0.7158625358473545,0.6154826487184568,0.12566874843854237,0.39882780547713714,0.09918833759313861,0.23019523690891353
3,6.150154261422256e-15,2.3915539827367463e-15,0.6043685620272079,0.4553949561492705,-0.04409277120245658,0.5871169637453584,0.051708147343001665,0.5192016080973925
4,1.2590974326188727e-14,4.141392082198627e-15,0.44983038568936795,0.3953825565300864,0.03730073020600755,0.21736113394122406,0.01620042135506139,0.21675656598159423
5,2.0483935160594122e-12,9.905863448813014e-15,0.7420909513244549,0.3351170025749143,-0.07034049835303247,1.0102952464787238,0.20387713031497146,0.08739676932717333
6,5.561060742434996e-12,1.0625167306353374e-14,0.7273083044008946,0.40862062624131695,0.013503625007603937,1.1901763425037646,0.03213948266715705,0.16472439929856764
7,1.100566091303969e-12,1.0041571658492088e-14,0.6176095259126235,0.3157225682612265,0.047429013645384877,1.0224114740311612,0.10755043542395559,0.33669471836712617
8,7.216452696350213e-15,4.111360353000631e-15,0.6751476198677009,0.3839372368324536,0.10542756609570958,1.057316927751521,0.23024554769533012,0.23125488374102576
9,4.9084635291442794e-15,4.0343515282479986e-15,0.661388278606462,0.5032872884882256,-0.26793551238411073,0.6219181712082569,0.31754529929865627,0.22266131635376007
10,4.034369014219165e-14,8.218502510980595e-15,0.6978025725742665,0.5190030706376284,0.03182890966622953,0.700052270787511,0.04453370929291023,0.28840337026671103
11,8.124661375994564e-13,1.0247281747736126e-14,0.6287046369691178,0.21287969882780633,0.09919590821178659,0.45082727780827714,0.291320652829697,0.13898215331933284
12,1.2836994565524374e-13,7.263975747477184e-15,0.5249772874088663,0.2792351694879818,0.014535183907872007,0.9438699187189488,0.027434781200144198,0.5026020215720469
13,8.373264938632665e-15,4.333544793819058e-15,0.5267904593768291,0.28193645199143247,-0.07474994045132188,0.805232188728727,0.14011668785188292,0.39815647070590876
14,7.493333510153308e-15,1.3315198758965335e-14,0.5910849534510243,0.38187690263370244,0.11350816109956252,0.8126274042062681,0.1828991926399809,0.3875076608729233
15,1.0256058418681083e-14,3.626294102666385e-15,0.578588388892614,0.20075791392550624,0.14913429219061758,0.20612781079172923,0.1887454714239541,0.08284818283306072
16,9.744604964115089e-15,1.516204288597644e-14,0.5875461162844227,0.2862634644190605,0.10850762349230614,0.6961401928108443,0.2440638877800121,0.2683327855020554
17,2.4262999536881234e-13,4.544889485148228e-14,0.7325356949895951,0.3193936292248546,0.09516136749704773,0.8671648129858925,0.2782467965847245,0.09151024252527296
18,1.7600595193152803e-11,3.559964339323636e-14,0.41062165625033753,0.25680227273593254,-0.0022142372906195362,0.6056182133868485,0.0026819560977537904,0.6056122748899399
19,5.495445415991056e-14,8.061917533381499e-15,0.6257073867230227,0.26440146035603646,-0.010273935137249612,0.9733072185924112,0.027176592230022667,0.30559846423149695
20,1.6062146302973783e-14,7.7336263511731e-15,0.6898955443593229,0.5086713999615997,0.02166096711388088,0.7091290418139137,0.030711233182152964,0.3140629226080237
21,4.753760200116104e-15,4.319825104796135e-15,0.6789359076789951,0.4170353535848026,-0.3608259909494431,0.22436416822217506,0.21929737235902147,0.04741247154976369
