iteration,qiskit,psf_true,psf_false
0,0.007904199999757111,0.0015595999998367915,0.0012393000001793553
1,0.009145900000021356,0.0008952000002864224,0.0007619000002705434
2,0.008966299999883631,0.0009324000002379762,0.0007470999998986372
3,0.007324700000026496,0.0010391999999228574,0.0007998000000952743
4,0.007229199999983393,0.0014760999997633917,0.0008858000001055188
5,0.006891699999869161,0.0015699999999014835,0.0008422000000791741
6,0.007096499999988737,0.0013957000001028064,0.0012282000002414861
7,0.00672069999973246,0.0008591000000706117,0.0007621999998264073
8,0.006219599999894854,0.0013786999998046667,0.0007958000001053733
9,0.006904699999722652,0.001420499999767344,0.0012185000000499713
10,0.007250900000144611,0.0013795999998365005,0.0011804999999185384
11,0.00626830000010159,0.0014123000000836328,0.0007510000000365835
12,0.008057099999859929,0.0008745999998609477,0.0007352000002356363
13,0.006892799999604904,0.0019103000004179194,0.0012068000000908796
14,0.007131200000003446,0.001026599999931932,0.0008117000002130226
15,0.0070524000002478715,0.0015682000002925633,0.0012321999997766397
16,0.0076435000000856235,0.0012748000003739435,0.0009087999997063889
17,0.006788599999708822,0.0011750999997275358,0.0007739000002402463
18,0.006850799999938317,0.0008821000001262291,0.0007375000000138243
19,0.00735819999999876,0.0015613000000485044,0.0012384999999994761
20,0.0065782000001490815,0.0008803000000625616,0.0007535999998253828
21,0.006845400000202062,0.0009057999996002764,0.0007762000000184344
22,0.007141900000078749,0.0008938000000853208,0.0007679999998799758
23,0.007336499999837542,0.0008869000002960092,0.0007408000001305481
24,0.007577599999876838,0.0008748000000196043,0.0007463000001735054
25,0.006625200000144105,0.0009290000002692977,0.0007595000001856533
26,0.006268699999964156,0.0008835999997245381,0.0007497999999941385
27,0.00727180000012595,0.0009107999999287131,0.0007526999997935491
28,0.007601699999668199,0.000980000000254222,0.0007680999997319304
29,0.00780529999974533,0.001849700000093435,0.0007745999996586761
30,0.006494600000223727,0.0009015999999064661,0.000783899999987625
31,0.007667599999876984,0.0009287000002586865,0.00075669999978345
32,0.00794560000031197,0.0009457999999540334,0.0007704999998168205
33,0.006814800000029209,0.0009364000002278772,0.0007664000004297122
34,0.008195399999749498,0.0009064999999282009,0.0007440999997925246
35,0.008885799999916344,0.0009043000000019674,0.0007258999999066873
36,0.008552100000088103,0.0008648000002722256,0.0007347000000663684
37,0.006211800000073708,0.0009264999998777057,0.0008362999997189036
38,0.006646599999839964,0.0009442999999009771,0.0007646000003660447
39,0.0073272999998152955,0.0009055999998963671,0.0007386000002043147
40,0.007550899999841931,0.0018530000002101588,0.0012215000001560838
41,0.006949699999950099,0.0009281999996346713,0.0007700000001023
42,0.0072017000002233544,0.0008619000000180677,0.0007250999997268082
43,0.006774399999812886,0.0008870000001479639,0.0007611000000906643
44,0.006461100000251463,0.0009003000000120664,0.0007643999997526407
45,0.0070160000000214495,0.0009266000001844077,0.0007505999997192703
46,0.009011899999677553,0.0008809000000837841,0.0007194999998318963
47,0.008561599999666214,0.0019730000003619352,0.0014197000000422122
48,0.007099800000105461,0.000878600000305596,0.0007486999998036481
49,0.008106700000098499,0.0014424000000872184,0.0012091999997210223
50,0.0070021000001361244,0.0010855000000447035,0.0007448999999724037
51,0.006390100000317034,0.0014059000000088417,0.0010207000000264088
52,0.006926200000179961,0.0015100999999049236,0.0007873999998082581
53,0.007340600000134145,0.0019096000000899949,0.001249400000233436
54,0.006571500000063679,0.0009346000001642096,0.0007837000002837158
55,0.006583800000043993,0.0013997000000927073,0.0012317000000621192
56,0.008306400000037684,0.0013930999998592597,0.0008144999997057312
57,0.0071104999997260165,0.0008800000000519503,0.0007325999999920896
58,0.007271400000263384,0.001387799999974959,0.0012002999997093866
59,0.006422800000109419,0.0014195999997355102,0.0011931999997614184
60,0.006288600000061706,0.000902100000075734,0.0007559000000583183
61,0.0072805999998308835,0.0008990999999696214,0.000749199999972916
62,0.007343499999933556,0.0008827000001474516,0.0007884000001467939
63,0.007848400000057154,0.0008895999999367632,0.001082100000076025
64,0.00741569999991043,0.0014845999999124615,0.0012981999998373794
65,0.0070015999999668566,0.000930400000015652,0.0007631999997101957
66,0.008172100000138016,0.001518000000032771,0.001229800000146497
67,0.0068608000001404434,0.0009398000001965556,0.0007912999999462045
68,0.0075292999999874155,0.0009112000002460263,0.0007313000000976899
69,0.0066896000002998335,0.0008880999998837069,0.0007445999999617925
70,0.009008600000015576,0.000913700000182871,0.0007260000002133893
71,0.006498899999769492,0.0008938999999372754,0.0007630999998582411
72,0.007522300000346149,0.0018751999996311497,0.00122849999979735
73,0.006474699999671429,0.0008928000002015324,0.0007237999998324085
74,0.006545199999891338,0.0009172999998554587,0.0007187000001067645
75,0.006972000000132539,0.0014118999997663195,0.0012241000003996305
76,0.007697600000028615,0.0008685999996487226,0.0007213999997475185
77,0.00791029999982129,0.0010400999999546912,0.0010513000001992623
78,0.0074813999999605585,0.0009544000004098052,0.0007807000001776032
79,0.007785700000113138,0.0015146000000640925,0.0012748999997711508
80,0.0068320000000312575,0.0009116000001085922,0.0007153999999900407
81,0.00694870000006631,0.0012802000001101987,0.0007909000000836386
82,0.006654499999967811,0.0013668999999936204,0.0011698000002979825
83,0.05140819999996893,0.0008940999996411847,0.0007458999998561922
84,0.007928399999855174,0.0014565000001312,0.0007743000001028122
85,0.006438500000058411,0.0008290000000670261,0.0007080000000314612
86,0.0064872000002651475,0.0014878000001772307,0.0011930999999094638
87,0.007127700000182813,0.0009817999998631421,0.0007959999998092826
88,0.006473299999925075,0.0008711000000403146,0.0007236000001284992
89,0.006771500000013475,0.0009050000003298919,0.0007611999999426189
90,0.006818899999871064,0.0008810000003904861,0.0007368999999926018
91,0.007264699999723234,0.0010520000000724394,0.0007992999999260064
92,0.008500099999764643,0.0009076999999706459,0.0007359000001088134
93,0.007731100000000879,0.000873699999829114,0.0007452999998349696
94,0.00791350000008606,0.0008690999998179905,0.000747700000374607
95,0.0072583000001031905,0.0009236000000782951,0.0007528000001002511
96,0.00876879999987068,0.0008610999998381885,0.0007159000001593085
97,0.009255500000108441,0.0008647999998174782,0.0007214999995994731
98,0.0066778999998859945,0.0008867999999893073,0.0007181999999374966
99,0.009507100000064383,0.0008921999997255625,0.0007332000000133121
100,0.007535600000210252,0.0008721000003788504,0.0007494000001315726
101,0.006621399999858113,0.000843799999984185,0.000719300000127987
102,0.007056700000248384,0.0016694999999344873,0.0012104000002182147
103,0.007344000000102824,0.001859999999851425,0.0012292000001252745
104,0.008426699999745324,0.0014616000003115914,0.0012516000001596694
105,0.007764400000269234,0.0008612999999968451,0.0007098000000951288
106,0.00703769999972792,0.0013602999997601728,0.001202700000249024
107,0.008904000000256929,0.0014307000001281267,0.0012243000001035398
108,0.0065131000001201755,0.0009276999999201507,0.00074640000002546
109,0.007456299999830662,0.0014199000002008688,0.0012183999997432693
110,0.007784399999763991,0.001399799999944662,0.0012072999998054001
111,0.00824190000003,0.0017106000000239874,0.0012216000000080385
112,0.007044100000257458,0.0014289000000644592,0.0012280000000828295
113,0.006868599999961589,0.0008907999999792082,0.0007534000001214736
114,0.006809500000144908,0.0014027999995960272,0.0012126999999964028
115,0.007983199999671342,0.0014451000001827197,0.0012208000002829067
116,0.00696509999988848,0.0014265999998315237,0.0012071999999534455
117,0.008328100000198901,0.0008806999999251275,0.000758000000132597
118,0.007176599999638711,0.0009361000002172659,0.0007407000002785935
119,0.007399799999802781,0.001381799999762734,0.0012004000000160886
120,0.0076850000000376895,0.0008865999998306506,0.0007325999999920896
121,0.0065147000000251865,0.0008921999997255625,0.0007568999999421067
122,0.007591099999899598,0.0008843999999044172,0.0007314999998015992
123,0.00929390000010244,0.0014451000001827197,0.0007815999997546896
124,0.009608799999568873,0.0009278000002268527,0.0007355000002462475
125,0.007194100000106118,0.0014394999998330604,0.0012301000001571083
126,0.006196599999839236,0.0009395000001859444,0.0010025000001405715
127,0.00662929999998596,0.0009122999999817694,0.0007375000000138243
128,0.006460399999923538,0.0008923999998842191,0.0007651999999325199
129,0.007159100000080798,0.0008935000000747095,0.0007587999998577288
130,0.007495599999856495,0.001486399999976129,0.0007651999999325199
131,0.007588899999973364,0.0008726999999453255,0.0007226000002447108
132,0.007654399999864836,0.0009263000001737964,0.0007620999999744527
133,0.0068965999998908956,0.0009056999997483217,0.0007534000001214736
134,0.009763399999883404,0.0016763999997237988,0.0012286999999560066
135,0.007267200000114826,0.0008855999999468622,0.0007514000003538968
136,0.007050900000194815,0.0008961000003182562,0.0007427000000461703
137,0.008150799999839364,0.0008702000000084809,0.0007332999998652667
138,0.0070510999998987245,0.0013940000003458408,0.0012027999996462313
139,0.008846400000038557,0.0008842000002005079,0.0007310999999390333
140,0.006516399999782152,0.0013979000000290398,0.001216999999996915
141,0.007827899999938381,0.0008923999998842191,0.0007358000002568588
142,0.006698600000163424,0.0014361000003191293,0.0008063999998739746
143,0.007678000000396423,0.0008583000003454799,0.000718100000085542
144,0.00682470000037938,0.0008544999996047409,0.0007396000000881031
145,0.005715399999644433,0.0008637999999336898,0.0007123000000319735
146,0.007402300000194373,0.0008800000000519503,0.0007653000002392218
147,0.007026899999800662,0.002006499999879452,0.0012588999998115469
148,0.007258699999965756,0.0009013999997478095,0.0007503000001634064
149,0.006388400000105321,0.0014818999998169602,0.0012541000000965141
150,0.0060272999999142485,0.0009208999999827938,0.0007728000000497559
151,0.009125300000050629,0.0008903000002646877,0.0007932999997137813
152,0.007348899999669811,0.000928100000237464,0.0007590000000163855
153,0.007820100000117236,0.0008831999998619722,0.0007384999998976127
154,0.007474000000001979,0.0008704000001671375,0.0007296000003407244
155,0.009412200000042503,0.0008959000001595996,0.0007368999999926018
156,0.007261400000061258,0.0009028999998008658,0.0007400000004054164
157,0.007208499999705964,0.0009660000000621949,0.0007964999999785505
158,0.006638199999997596,0.0009162000001197157,0.0007623999999850639
159,0.007553599999937433,0.0009678999999778171,0.0007544999998572166
160,0.006811700000071141,0.0008910999999898195,0.00074399999994057
161,0.006521199999951932,0.0009154999997917912,0.0007685999999011983
162,0.006536099999721046,0.000925199999983306,0.0007691000000704662
163,0.007581799999570649,0.0009635999999773048,0.0007667999998375308
164,0.00803489999998419,0.0009101000000555359,0.0007674999997107079
165,0.00785249999989901,0.0009211000001414504,0.0007692999997743755
166,0.007702600000357052,0.0009710999997878389,0.000837399999909394
167,0.007502199999635195,0.0009304999998676067,0.0007531000001108623
168,0.006673999999748048,0.0009184000000459491,0.000758000000132597
169,0.007016999999905238,0.001118299999689043,0.0007786000001033244
170,0.007531600000220351,0.0009282999999413732,0.0008094999998320418
171,0.006656799999745999,0.0008711000000403146,0.0007200000000011642
172,0.006718300000102317,0.0008933999997680075,0.0007569999997940613
173,0.006166600000142353,0.00091759999986607,0.000764800000069954
174,0.006719900000007328,0.000951200000145036,0.0007789000001139357
175,0.007813599999735743,0.0008759000002100947,0.0007329000000027008
176,0.0066311999999015825,0.0008790000001681619,0.0007282999999915774
177,0.006565399999999499,0.0009290000002692977,0.0007612000003973662
178,0.007277899999735382,0.0009284000002480752,0.0007562000000689295
179,0.007597199999963777,0.0009553999998388463,0.0007677000003241119
180,0.007795500000156608,0.0009600000003047171,0.0007749999999759893
181,0.006093299999974988,0.0009699999995973485,0.0007668000002922781
182,0.006445399999847723,0.00141780000012659,0.0011985000001004664
183,0.008104300000013609,0.0009398000001965556,0.0007233999999698426
184,0.006558899999618006,0.0008840000000418513,0.0007393999999294465
185,0.007559499999842956,0.0009607000001778943,0.0007740000000922009
186,0.007823299999927258,0.001108500000100321,0.0007675000001654553
187,0.006488100000296981,0.0009134000001722598,0.000753199999962817
188,0.00823709999986022,0.0009119999999711581,0.0007835999999770138
189,0.006579800000054092,0.0009623999999348598,0.0007878000001255714
190,0.007157000000006519,0.0021176999998715473,0.0012233000002197514
191,0.008890499999779422,0.001605800000106683,0.000795899999957328
192,0.007041400000161957,0.0009204000002682733,0.0007543000001533073
193,0.006414699999822915,0.0009131000001616485,0.0007663999999749649
194,0.008225999999922351,0.0009199000000990054,0.0007604000002174871
195,0.008195200000045588,0.0009442000000490225,0.000760800000080053
196,0.007662399999844638,0.0017391999999745167,0.0013659999999617867
197,0.0069935000001351,0.000979399999778252,0.0008007999999790627
198,0.006643799999892508,0.0008891000002222427,0.0007420999995702005
199,0.006662199999937002,0.0008990000001176668,0.0007344999999077118
200,0.007068899999921996,0.0008883999998943182,0.0007808000000295579
201,0.007275499999650492,0.0009080999998332118,0.0007574999999633292
202,0.007392500000150903,0.0009320999997726176,0.0007690000002185116
203,0.00724320000017542,0.0009209999998347485,0.0007444999996550905
204,0.007069400000091264,0.0008738999999877706,0.0007845999998608022
205,0.007919099999980972,0.000923999999940861,0.0007555000001957524
206,0.008009399999991729,0.0015982999998414016,0.001308100000187551
207,0.008945799999764859,0.0009392000001753331,0.0007660999999643536
208,0.006823700000040844,0.0015200999996523024,0.0012224000001879176
209,0.007341900000028545,0.0009215000000040163,0.0007705000002715678
210,0.007282800000211864,0.000929300000279909,0.0007497999999941385
