method,ansatz,cx,sx,rz,total,depth,sx_min,sx_max,compile_ms_median,sim_ms_per_circuit,sim_ms_per_circuit_min,sim_ms_per_circuit_max,max_p4_err
A_red,red,84.0,336.0,504.0,924.0,216.0,336,336,0.9537500009173527,37.38851000001887,37.16400000004796,37.68958000000566,7.993605777301127e-15
B_red,red,42.0,96.0,144.0,282.0,71.0,96,96,10.860499998671003,13.739646000030916,12.825650000013411,14.008210000029067,5.867528685143952e-14
D_red,red,42.0,96.0,144.0,282.0,71.0,96,96,9.29455000004964,12.686679999897024,12.503692000027513,12.705110000097193,3.574710527587399e-10
A_opt,opt,42.0,140.0,308.0,490.0,126.0,140,140,0.649650002742419,20.007475999882445,19.918561999947997,20.855503999919165,4.6629367034256575e-15
B_opt,opt,42.0,96.0,144.0,282.0,71.0,96,96,10.53814999977476,13.634210000018356,12.735729999985779,14.51619200001005,9.28069746630733e-06
