Spare,Qubits,Seed,Rep,Elapsed_s,Found,TimedOut,Error,EmbeddingFeasible,MaxMatchingSize,RequiredPairs,Rows,Cols,Platform,Python,CPU
6,36,2,2,0.0011547999993126723,True,False,,True,21,18,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
8,34,0,0,0.0010566999999355176,True,False,,True,21,17,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
8,34,0,1,0.0012409000000843662,True,False,,True,21,17,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
8,34,0,2,0.0010738000000856118,True,False,,True,21,17,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
8,34,1,0,0.0010320000001229346,True,False,,True,21,17,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
8,34,1,1,0.0011481999999887194,True,False,,True,21,17,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
8,34,1,2,0.0010228000001006876,True,False,,True,21,17,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
8,34,2,0,0.0012405999996190076,True,False,,True,21,17,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
8,34,2,1,0.001534699999865552,True,False,,True,21,17,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
8,34,2,2,0.0012239999996381812,True,False,,True,21,17,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
16,26,0,0,0.0007293000007848605,True,False,,True,21,13,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
16,26,0,1,0.0006478000004790374,True,False,,True,21,13,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
16,26,0,2,0.0006440000006477931,True,False,,True,21,13,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
16,26,1,0,0.0006970000004002941,True,False,,True,21,13,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
16,26,1,1,0.0006597000001420383,True,False,,True,21,13,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
16,26,1,2,0.0006546000004163943,True,False,,True,21,13,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
16,26,2,0,0.0006630000007135095,True,False,,True,21,13,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
16,26,2,1,0.0007820999999239575,True,False,,True,21,13,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
16,26,2,2,0.0007138999999369844,True,False,,True,21,13,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
24,18,0,0,0.0007017999996605795,True,False,,True,21,9,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
24,18,0,1,0.0005650000002788147,True,False,,True,21,9,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
24,18,0,2,0.0003845999999612104,True,False,,True,21,9,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
24,18,1,0,0.0003735999998752959,True,False,,True,21,9,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
24,18,1,1,0.0003606000000218046,True,False,,True,21,9,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
24,18,1,2,0.000367999999980384,True,False,,True,21,9,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
24,18,2,0,0.0005424000000857632,True,False,,True,21,9,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
24,18,2,1,0.0004973000004611094,True,False,,True,21,9,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
24,18,2,2,0.0006192000000737607,True,False,,True,21,9,6,7,Windows-10-10.0.26100-SP0,3.10.11,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
