family,k,m,order,j,n_bare,n_interaction_edges,max_interaction_degree,spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
n_bare_edges,,,,,17,37,2,0,64,1.0,32,0,3,0,10.751950600000782,32,32,True,True,0,9153.889100000015,9135.396003723145,0.0,9142.436504364014,0.9979797552630532,4588.393211364746,1.9044876098632812,4545.098304748535,0.0,VF2Layout,4588.393211364746,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
n_bare_edges,,,,,17,37,2,0,64,1.0,32,0,3,1,19.909372400001303,32,32,True,True,0,9194.04779999968,9176.419496536255,0.0,9183.000564575195,0.9980826395678054,4646.9597816467285,2.007722854614258,4527.451992034912,0.0,VF2Layout,4646.9597816467285,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
n_bare_edges,,,,,17,37,2,0,64,1.0,32,1,3,0,38.48334960000102,32,32,True,True,0,9092.865300000994,9073.312520980835,0.0,9080.343961715698,0.997849657025035,4601.485729217529,2.100229263305664,4469.7265625,0.0,VF2Layout,4601.485729217529,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
n_bare_edges,,,,,17,37,2,0,64,1.0,32,1,3,1,47.57989500000076,32,32,True,True,0,8995.742199998858,8975.152492523193,0.0,8982.374906539917,0.9977111719057858,4467.269420623779,1.0013580322265625,4506.8817138671875,0.0,VF2PostLayout,4506.8817138671875,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
n_bare_edges,,,,,17,37,2,0,64,1.0,32,2,3,0,65.8761069000011,32,32,True,True,0,9096.607899999071,9077.569246292114,0.0,9085.684061050415,0.9979070600913821,4578.488349914551,2.2649765014648438,4496.815919876099,0.0,VF2Layout,4578.488349914551,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
n_bare_edges,,,,,17,37,2,0,64,1.0,32,2,3,1,74.97620280000046,32,32,True,True,0,9162.925799999357,9143.735885620117,0.0,9150.76732635498,0.9979057001226354,4566.555976867676,1.0023117065429688,4576.177597045898,0.0,VF2PostLayout,4576.177597045898,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
n_bare_edges,,,,,17,37,2,0,64,1.0,32,3,3,0,93.59547990000101,32,32,True,True,0,9527.350000000297,9507.365942001343,0.0,9514.501810073853,0.9979024536729569,4804.081916809082,1.4789104461669922,4701.805114746094,0.0,VF2Layout,4804.081916809082,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
n_bare_edges,,,,,17,37,2,0,64,1.0,32,3,3,1,103.12670680000156,32,32,True,True,0,9870.116199999757,9848.968029022217,0.0,9855.494976043701,0.9978573533939205,4897.456884384155,1.0030269622802734,4950.508117675781,0.0,VF2PostLayout,4950.508117675781,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
n_bare_edges,,,,,17,37,2,0,64,1.0,32,4,3,0,123.05832920000103,32,32,True,True,0,10800.74969999987,10774.980783462524,0.0,10787.023544311523,0.9976141548269242,5449.302911758423,1.0025501251220703,5324.6753215789795,0.0,VF2Layout,5449.302911758423,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
n_bare_edges,,,,,17,37,2,0,64,1.0,32,4,3,1,133.86482240000078,32,32,True,True,0,9583.404599999994,9552.81949043274,0.0,9562.090635299683,0.9968085340394316,4892.069339752197,1.9903182983398438,4658.759832382202,0.0,VF2Layout,4892.069339752197,25,nonexistent solution,no better solution found,True,True,114,35,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
