spare,arm,lap,status,compile_s,lap_s,max_pair_distance,ops,routed_twoq,layout_changed,within_0.01s,within_0.1s,within_1.0s,within_10.0s
0,Q3,1,OK,13.421919398,13.695786591999877,3.37038365895091e-13,1920,180,False,False,False,False,False
0,Q3,2,OK,13.071495265000067,13.432383086999835,3.3762457817151674e-13,1920,180,False,False,False,False,False
0,Q3,3,OK,12.943625996000037,13.215199296000037,3.379793036409755e-13,1920,180,False,False,False,False,False
0,Q3,4,OK,12.896110516000135,13.170419734000006,3.385532435527734e-13,1920,180,False,False,False,False,False
0,Q3,5,OK,13.17904415399994,13.506332020999935,3.390204808974701e-13,1920,180,False,False,False,False,False
0,Q3,6,OK,13.14664549400004,13.444018686000163,3.3888426609391564e-13,1920,180,False,False,False,False,False
0,Q3,7,OK,12.977127689000099,13.250218785000015,3.3897180155191715e-13,1920,180,False,False,False,False,False
0,Q3,8,OK,12.78855112899987,13.06194430100004,3.391667660457553e-13,1920,180,False,False,False,False,False
0,Q3,9,OK,13.018468706000021,13.393606370000043,3.395736995705375e-13,1920,180,False,False,False,False,False
0,Q3,10,OK,12.930579939000154,13.20385631299996,3.4004524522422147e-13,1920,180,False,False,False,False,False
0,P,1,OK,0.24875298299980386,0.5443214700001135,1.7599864743291847e-11,2160,180,False,False,False,True,True
0,P,2,OK,0.06542118999982449,0.37008122100019136,5.53713567533401e-11,2160,180,False,False,True,True,True
0,P,3,OK,0.06219605999990563,0.47735248899994076,3.6381856785503505e-11,2160,180,False,False,True,True,True
0,P,4,OK,0.06061425400002918,0.3651194699998541,1.6610975897554736e-10,2160,180,False,False,True,True,True
0,P,5,OK,0.05817936400012513,0.3619343200000458,2.2147722562079059e-10,2160,180,False,False,True,True,True
0,P,6,OK,0.05812715100000787,0.35900622599979215,3.5120266545583573e-10,2160,180,False,False,True,True,True
0,P,7,OK,0.05781770199996572,0.3585498400000233,3.3220934898106696e-10,2160,180,False,False,True,True,True
0,P,8,OK,0.05846728599999551,0.3623059659998944,4.619335899184882e-10,2160,180,False,False,True,True,True
0,P,9,OK,0.0620298849999017,0.35861622400011584,5.172972133275678e-10,2160,180,False,False,True,True,True
0,P,10,OK,0.1723322420000386,0.46955366599991066,6.470178039453166e-10,2160,180,False,False,False,True,True
8,Q3,1,OK,0.17776086200001373,0.4303003019999778,3.370682424663272e-13,1792,168,False,False,False,True,True
8,Q3,2,OK,0.1488240119999773,0.4057288399999379,3.380738839638853e-13,1792,168,True,False,False,True,True
8,Q3,3,OK,0.15368711399992208,0.4265559380000923,3.3928544610139555e-13,1792,168,False,False,False,True,True
8,Q3,4,OK,0.15191291799987994,0.41207298800009085,3.3887718917024735e-13,1792,168,False,False,False,True,True
8,Q3,5,OK,0.14827157800004898,0.4102722669999821,4.207930701869282e-13,1792,168,False,False,False,True,True
8,Q3,6,OK,0.1578398650001418,0.41449315499994555,5.09329629528554e-13,1792,168,False,False,False,True,True
8,Q3,7,OK,0.15202089299987165,0.525444392000054,5.332442784200293e-13,1792,168,False,False,False,True,True
8,Q3,8,OK,0.15367947000004278,0.40822972000000846,5.689821726576006e-13,1792,168,False,False,False,True,True
8,Q3,9,OK,0.1571158709998599,0.413260616000116,5.424712427944581e-13,1792,168,False,False,False,True,True
8,Q3,10,OK,0.15226611699995374,0.4125460090001525,4.3412313646885335e-13,1792,168,False,False,False,True,True
8,P,1,OK,0.02731440599995949,0.304926210000076,1.7599864743291847e-11,2016,168,False,False,True,True,True
8,P,2,OK,0.026744120000103067,0.3080968849999408,5.53713567533401e-11,2016,168,False,False,True,True,True
8,P,3,OK,0.02821518499990816,0.3168094800000745,3.6381856785503505e-11,2016,168,False,False,True,True,True
8,P,4,OK,0.03151053899978251,0.3553030089999538,1.6610975897554736e-10,2016,168,False,False,True,True,True
8,P,5,OK,0.028562885999917853,0.4578449199998431,2.2147722562079059e-10,2016,168,False,False,True,True,True
8,P,6,OK,0.03002816499997607,0.3132404789998873,3.5120266545583573e-10,2016,168,False,False,True,True,True
8,P,7,OK,0.03867187500009095,0.33980740600009085,3.3220934898106696e-10,2016,168,False,False,True,True,True
8,P,8,OK,0.029354034999869327,0.3192876120001529,4.619335899184882e-10,2016,168,False,False,True,True,True
8,P,9,OK,0.02789999599986004,0.31117826300010165,5.172972133275678e-10,2016,168,False,False,True,True,True
8,P,10,OK,0.030748366999887367,0.3146660900001734,6.470178039453166e-10,2016,168,False,False,True,True,True
