family,k,m,order,j,n_bare,n_interaction_edges,max_interaction_degree,spare,n,occupancy,n_pairs,seed,optimization_level,repeat,elapsed_since_start_s,max_matching_size,n_pairs_required,embedding_feasible,perfect_matching_exists,matching_slack,time_ms,layout_ms,routing_ms,accounted_ms,layout_frac,vf2layout_ms,sabrelayout_ms,vf2postlayout_ms,sabreswap_ms,slowest_pass,slowest_pass_ms,n_passes,vf2_stop_reason,vf2post_stop_reason,vf2postlayout_ran,vf2layout_ran,two_qubit_gates,depth,error,cpu,platform,python_version,qiskit_version,grid_rows,grid_cols,grid_size,gates_per_pair,seed_transpiler
mixed_uneven,,,,,,46,2,0,64,1.0,32,0,3,0,1.658538599998792,32,32,True,True,0,35.18380000059551,16.088247299194336,0.0,22.884130477905273,0.45726292495188214,16.088247299194336,0.0,0.0,0.0,VF2Layout,16.088247299194336,26,solution found,no better solution found,True,True,138,324,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
mixed_uneven,,,,,,46,2,0,64,1.0,32,0,3,1,1.697981699999218,32,32,True,True,0,34.31319999981497,15.059709548950195,0.0,21.533966064453125,0.4388896852823812,15.059709548950195,0.0,0.0,0.0,VF2Layout,15.059709548950195,26,solution found,no better solution found,True,True,138,324,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
mixed_uneven,,,,,,46,2,0,64,1.0,32,1,3,0,2.008799799999906,32,32,True,True,0,34.02359999927285,16.09635353088379,0.0,22.3538875579834,0.47309377994179924,16.09635353088379,0.0,0.0,0.0,VF2Layout,16.09635353088379,26,solution found,no better solution found,True,True,138,324,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
mixed_uneven,,,,,,46,2,0,64,1.0,32,1,3,1,2.046962499998699,32,32,True,True,0,33.726399999068235,16.07513427734375,0.0,22.170066833496094,0.47663356533124973,15.057086944580078,0.0,0.0,0.0,VF2Layout,15.057086944580078,26,solution found,no better solution found,True,True,138,324,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
mixed_uneven,,,,,,46,2,0,64,1.0,32,2,3,0,2.3559621999993396,32,32,True,True,0,35.13770000063232,17.042875289916992,0.0,24.22046661376953,0.48503104328428714,16.004562377929688,0.0,1.0383129119873047,0.0,VF2Layout,16.004562377929688,26,solution found,no better solution found,True,True,138,324,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
mixed_uneven,,,,,,46,2,0,64,1.0,32,2,3,1,2.3952785999990738,32,32,True,True,0,34.299600001759245,16.092538833618164,0.0,23.242712020874023,0.4691756997980376,15.08951187133789,0.0,0.0,0.0,VF2Layout,15.08951187133789,26,solution found,no better solution found,True,True,138,324,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
mixed_uneven,,,,,,46,2,0,64,1.0,32,3,3,0,2.706276400000206,32,32,True,True,0,35.42139999990468,16.112565994262695,0.0,23.304224014282227,0.4548822461649188,16.112565994262695,0.0,0.0,0.0,VF2Layout,16.112565994262695,26,solution found,no better solution found,True,True,138,324,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
mixed_uneven,,,,,,46,2,0,64,1.0,32,3,3,1,2.7458336999989115,32,32,True,True,0,34.919100000479375,16.228675842285156,0.0,23.322105407714844,0.4647506906553252,15.225648880004883,0.0,0.0,0.0,VF2Layout,15.225648880004883,26,solution found,no better solution found,True,True,138,324,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
mixed_uneven,,,,,,46,2,0,64,1.0,32,4,3,0,3.0559228000001895,32,32,True,True,0,34.45629999987432,16.527891159057617,0.0,23.5745906829834,0.4796768996995587,16.527891159057617,0.0,0.0,0.0,VF2Layout,16.527891159057617,26,solution found,no better solution found,True,True,138,324,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
mixed_uneven,,,,,,46,2,0,64,1.0,32,4,3,1,3.0945080000001326,32,32,True,True,0,33.77519999958167,15.056371688842773,0.0,21.078109741210938,0.44578186625184324,15.056371688842773,0.0,0.0,0.0,VF2Layout,15.056371688842773,26,solution found,no better solution found,True,True,138,324,,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",Windows-10-10.0.26100-SP0,3.10.11,2.5.2,8,8,64,20,42
