Grid,Nodes,Pairs,Order,OrderSeed,Found,Time_s,CallLimit,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
6x7,42,21,row_major,,False,0.3569815999999264,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,col_major,,False,0.3627010000000155,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,snake,,False,0.36906120000094234,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,bfs_corner,,False,0.36477080000076967,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,dfs_corner,,False,0.3433767999995325,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,bipartite,,False,0.35153559999889694,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,reverse,,False,0.36669919999985723,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,random,0.0,False,0.34890119999909075,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,random,1.0,False,0.36341469999933906,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,random,2.0,False,0.3571784000014304,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,random,3.0,False,0.33968320000167296,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
6x7,42,21,random,4.0,False,0.3497840999989421,3000000,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
