Topology,AvgDegree,Physical,Spare,Qubits,Arm,Level,PSF_RL,Reps,TimeBudget_s,PerAttemptCallLimit,FallbackCallLimit,PSFInitialLayoutMode,SmartSearch_s,SmartFound,SmartPhase,SmartOrder,SmartOrderingsTried,Status,Time_min_s,Time_median_s,Time_max_s,Spread_max_over_min,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
grid,3.5,64,0,64,qiskit_opt2,2,2,1,2.0,50000,200000,None,,,,,,success,0.7618556000015815,0.7618556000015815,0.7618556000015815,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
grid,3.5,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,200000,None,0.009421800001291558,True,1.0,bfs_from_min_degree,2.0,success,0.02173860000038985,0.02173860000038985,0.02173860000038985,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2,2,2,1,2.0,50000,200000,None,,,,,,success,0.7213919000023452,0.7213919000023452,0.7213919000023452,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
brick,2.625,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,200000,None,0.14923130000170204,False,,,9.0,success,0.9003943999996409,0.9003943999996409,0.9003943999996409,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,0,64,qiskit_opt2,2,2,1,2.0,50000,200000,None,,,,,,success,0.7690589999983786,0.7690589999983786,0.7690589999983786,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.25,2.25,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,200000,None,0.17390159999922616,False,,,9.0,success,0.9473910000015167,0.9473910000015167,0.9473910000015167,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,0,64,qiskit_opt2,2,2,1,2.0,50000,200000,None,,,,,,success,0.7500330999973812,0.7500330999973812,0.7500330999973812,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.5,2.5,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,200000,None,0.18717539999852306,False,,,9.0,success,0.963976900002308,0.963976900002308,0.963976900002308,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,qiskit_opt2,2,2,1,2.0,50000,200000,None,,,,,,success,0.04714859999876353,0.04714859999876353,0.04714859999876353,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
diluted_p0.75,2.875,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,200000,None,0.13704000000143424,False,,,9.0,success,0.1893951999991259,0.1893951999991259,0.1893951999991259,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2,2,2,1,2.0,50000,200000,None,,,,,,success,0.6386707000019669,0.6386707000019669,0.6386707000019669,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
line,1.96875,64,0,64,qiskit_opt2_smart,2,2,1,2.0,50000,200000,None,0.008202799999708077,True,1.0,bfs_from_min_degree,2.0,success,0.019110500001261244,0.019110500001261244,0.019110500001261244,1.0,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
