Axis,Qubits,Grid_Rows,Grid_Cols,Grid_Qubits,Spare_Qubits,Arm,Seed,Reps,Status,Time_min_s,Time_median_s,Time_max_s,Final_2Q_Gates,Final_Depth,Coupling_Violations,Platform,Python,Qiskit,StartMethod,CPU
C,64,8,8,64,0,qiskit_opt2,2,2,success,0.7039390999998432,0.707440050000514,0.7109410000011849,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,64,8,8,64,0,qiskit_opt3,1,2,success,8.209274299999379,8.214121749999322,8.218969199999265,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,64,8,8,64,0,qiskit_opt3,2,2,success,8.270850200000496,8.295726900000773,8.32060360000105,96,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,66,8,9,72,6,qiskit_opt2,1,2,success,0.014438000000154716,0.015186550000180432,0.015935100000206148,99,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,66,8,9,72,6,qiskit_opt2,2,2,success,0.013782899999569054,0.015059600000313367,0.01633630000105768,99,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,66,8,9,72,6,qiskit_opt3,1,2,success,0.03302119999898423,0.03707174999908602,0.04112229999918782,99,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,66,8,9,72,6,qiskit_opt3,2,2,success,0.030680800000482122,0.03424440000071627,0.037808000000950415,99,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,72,8,9,72,0,qiskit_opt2,1,2,success,0.7110072999985277,0.7292305499986469,0.747453799998766,108,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,72,8,9,72,0,qiskit_opt2,2,2,success,0.7073417999999947,0.7129204499997286,0.7184990999994625,114,35,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,72,8,9,72,0,qiskit_opt3,1,2,success,8.254962900000464,8.975165500000003,9.695368099999541,114,35,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
C,72,8,9,72,0,qiskit_opt3,2,2,success,13.240834199999881,17.567235399999845,21.89363659999981,108,16,0,Windows-10-10.0.26100-SP0,3.11.9,2.5.2,spawn,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel"
