spare,arm,lap,status,compile_s,lap_s,max_pair_distance,ops,routed_twoq,layout_changed,within_0.01s,within_0.1s,within_1.0s,within_10.0s
0,Q3,1,OK,13.100635296999997,13.368152740999989,3.37038365895091e-13,1920,180,False,False,False,False,False
0,Q3,2,OK,12.843260272000009,13.226630865000004,3.3762457817151674e-13,1920,180,False,False,False,False,False
0,Q3,3,OK,13.144448945999983,13.418736058999997,3.379793036409755e-13,1920,180,False,False,False,False,False
0,Q3,4,OK,12.910770957000011,13.191056632000027,3.385532435527734e-13,1920,180,False,False,False,False,False
0,Q3,5,OK,13.039704491999998,13.30930767000001,3.390204808974701e-13,1920,180,False,False,False,False,False
0,Q3,6,OK,12.848188413000003,13.120041183000012,3.3888426609391564e-13,1920,180,False,False,False,False,False
0,Q3,7,OK,12.835687153000038,13.109909146000007,3.3897180155191715e-13,1920,180,False,False,False,False,False
0,Q3,8,OK,12.97790386600002,13.25804737300001,3.391667660457553e-13,1920,180,False,False,False,False,False
0,Q3,9,OK,12.812746470999969,13.194193202999998,3.395736995705375e-13,1920,180,False,False,False,False,False
0,Q3,10,OK,12.80212031900004,13.080143971000041,3.4004524522422147e-13,1920,180,False,False,False,False,False
0,P,1,OK,0.24731874399998333,0.5481857320000358,1.7599864743291847e-11,2160,180,False,False,False,True,True
0,P,2,OK,0.06616904600002727,0.3762628019999852,5.53713567533401e-11,2160,180,False,False,True,True,True
0,P,3,OK,0.06194457800000919,0.46445500900000525,3.6381856785503505e-11,2160,180,False,False,True,True,True
0,P,4,OK,0.061108537999984947,0.35989390800000365,1.6610975897554736e-10,2160,180,False,False,True,True,True
0,P,5,OK,0.06157965800002785,0.3619931020000422,2.2147722562079059e-10,2160,180,False,False,True,True,True
0,P,6,OK,0.06048033799999075,0.37137465699998984,3.5120266545583573e-10,2160,180,False,False,True,True,True
0,P,7,OK,0.06041499799999883,0.3730929680000372,3.3220934898106696e-10,2160,180,False,False,True,True,True
0,P,8,OK,0.06125107500002969,0.3592483279999783,4.619335899184882e-10,2160,180,False,False,True,True,True
0,P,9,OK,0.07608589200003735,0.3851753330000065,5.172972133275678e-10,2160,180,False,False,True,True,True
0,P,10,OK,0.058569636000015635,0.47948078399997485,6.470178039453166e-10,2160,180,False,False,True,True,True
8,Q3,1,OK,0.18110420900001145,0.43958730500003185,3.370682424663272e-13,1792,168,False,False,False,True,True
8,Q3,2,OK,0.15401567700001806,0.4202582689999872,3.380738839638853e-13,1792,168,True,False,False,True,True
8,Q3,3,OK,0.1499404790000085,0.40952080899995735,3.3928544610139555e-13,1792,168,False,False,False,True,True
8,Q3,4,OK,0.1498309659999677,0.41644528199998376,3.3887718917024735e-13,1792,168,False,False,False,True,True
8,Q3,5,OK,0.14966669000000365,0.4081554090000168,4.207930701869282e-13,1792,168,False,False,False,True,True
8,Q3,6,OK,0.1508681299999921,0.4089276860000268,5.09329629528554e-13,1792,168,False,False,False,True,True
8,Q3,7,OK,0.15203888599995707,0.5234838160000095,5.332442784200293e-13,1792,168,False,False,False,True,True
8,Q3,8,OK,0.1579554019999705,0.41811774299998206,5.689821726576006e-13,1792,168,False,False,False,True,True
8,Q3,9,OK,0.15319872599997097,0.41461876500000017,5.424712427944581e-13,1792,168,False,False,False,True,True
8,Q3,10,OK,0.14859258200004888,0.41477562000000034,4.3412313646885335e-13,1792,168,False,False,False,True,True
8,P,1,OK,0.028412229999958072,0.30372484800000166,1.7599864743291847e-11,2016,168,False,False,True,True,True
8,P,2,OK,0.02670544099999006,0.3059324769999989,5.53713567533401e-11,2016,168,False,False,True,True,True
8,P,3,OK,0.027609255000015764,0.31233873500002574,3.6381856785503505e-11,2016,168,False,False,True,True,True
8,P,4,OK,0.030181676000040625,0.31473419700000704,1.6610975897554736e-10,2016,168,False,False,True,True,True
8,P,5,OK,0.02626829100000805,0.4232907980000391,2.2147722562079059e-10,2016,168,False,False,True,True,True
8,P,6,OK,0.027215273000024354,0.3092856279999978,3.5120266545583573e-10,2016,168,False,False,True,True,True
8,P,7,OK,0.02889281199998095,0.32117362299999286,3.3220934898106696e-10,2016,168,False,False,True,True,True
8,P,8,OK,0.028024244000050658,0.32094613399999616,4.619335899184882e-10,2016,168,False,False,True,True,True
8,P,9,OK,0.02965523799997527,0.31620995599996604,5.172972133275678e-10,2016,168,False,False,True,True,True
8,P,10,OK,0.02743230100003302,0.31702613099997734,6.470178039453166e-10,2016,168,False,False,True,True,True
