Round,Spare,Qubits,LayoutSearch,Seed,Arm,Time_s,Status,Error,FidelityCheck,FidelityDetail,Infidelity,TwoQubitGates,CouplingViolations,Depth,QiskitLevel,RoutingOptimizationLevel,Grid,Timestamp
1,16,26,-,1,qiskit_opt3,0.03673749999870779,success,,structural_only,,,39,0,16,3,1,6x7,2026-09-16T23:25:05.407479
1,16,26,False,1,psf_zero_ls0,0.01480950000041048,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:05.445771
1,16,26,True,1,psf_zero_ls1,0.013857800000550924,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:05.462649
1,16,26,-,2,qiskit_opt3,0.036392500000147265,success,,structural_only,,,39,0,16,3,1,6x7,2026-09-16T23:25:05.548276
1,16,26,False,2,psf_zero_ls0,0.014493099999526748,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:05.586596
1,16,26,True,2,psf_zero_ls1,0.01398470000094676,success,,structural_only,,,78,0,22,3,1,6x7,2026-09-16T23:25:05.602783
1,24,18,-,0,qiskit_opt3,0.038875300000654534,success,,structural_only,,,27,0,16,3,1,6x7,2026-09-16T23:25:05.666115
1,24,18,False,0,psf_zero_ls0,0.012747100001433864,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:05.706347
1,24,18,True,0,psf_zero_ls1,0.01263699999981327,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:05.721391
1,24,18,-,1,qiskit_opt3,0.03883239999959187,success,,structural_only,,,27,0,16,3,1,6x7,2026-09-16T23:25:05.782674
1,24,18,False,1,psf_zero_ls0,0.012499399999796879,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:05.822814
1,24,18,True,1,psf_zero_ls1,0.012958000001162873,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:05.836871
1,24,18,-,2,qiskit_opt3,0.03856340000129421,success,,structural_only,,,27,0,16,3,1,6x7,2026-09-16T23:25:05.900151
1,24,18,False,2,psf_zero_ls0,0.013058799999271287,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:05.939752
1,24,18,True,2,psf_zero_ls1,0.012967800001206342,success,,structural_only,,,54,0,22,3,1,6x7,2026-09-16T23:25:05.954811
2,0,42,-,0,qiskit_opt3,6.71325909999905,success,,structural_only,,,63,0,16,3,1,6x7,2026-09-16T23:25:06.078763
