gc_mode,iteration,timestamp,rss_mb,w1_load_build_ms,w1_compile_ms,w1_simulate_ms,w1_total_ms,w1_z_00,w1_correct_00,w1_q0_00,w1_2q_00,w1_fp_00,w1_z_01,w1_correct_01,w1_q0_01,w1_2q_01,w1_fp_01,w1_z_10,w1_correct_10,w1_q0_10,w1_2q_10,w1_fp_10,w1_z_11,w1_correct_11,w1_q0_11,w1_2q_11,w1_fp_11,w2_synth_verify_ms,w2_compile_ms,w2_simulate_ms,w2_total_ms,w2_fallbacks,w2_gpu_worst,w2_synth_fp,w2_routed_fp,w2_2q,w2_tvd,platform
none,11,1790313089.11687,697.50390625,3.4235130005981773,75.62239200342447,3959.0223229897674,4038.06822799379,-0.9205,1,112,9,206b23e28556b8c1,0.907,1,112,9,ea25dd0e78956716,0.93,1,112,9,51e7b224ddb318d1,-0.9185,1,112,9,230bd81105cb6279,193.11195801128633,14.394711994100362,833.1248920003418,1040.6315620057285,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.04885681796291649,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,12,1790313094.3100328,699.52734375,3.53144301334396,78.66185499005951,3970.838253007969,4053.0315510113724,-0.9285,1,112,9,206b23e28556b8c1,0.9145,1,112,9,ea25dd0e78956716,0.925,1,112,9,51e7b224ddb318d1,-0.919,1,112,9,230bd81105cb6279,202.04386598197743,14.672652003355324,916.6004910075571,1133.31700899289,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.04655681796291649,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,13,1790313099.5180283,699.52734375,3.3620030153542757,78.2110939908307,3990.0758390140254,4071.6489360202104,-0.9145,1,112,9,206b23e28556b8c1,0.9315,1,112,9,ea25dd0e78956716,0.9155,1,112,9,51e7b224ddb318d1,-0.921,1,112,9,230bd81105cb6279,207.43618000415154,14.753732015378773,904.5600309909787,1126.749943010509,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05125681796291651,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,14,1790313104.6246994,698.640625,5.441854998935014,80.41477599181235,3971.599974000128,4057.4566049908753,-0.9355,1,112,9,206b23e28556b8c1,0.919,1,112,9,ea25dd0e78956716,0.9185,1,112,9,51e7b224ddb318d1,-0.924,1,112,9,230bd81105cb6279,207.5630899926182,15.34010301111266,818.2205999910366,1041.1237929947674,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.050906817962916504,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,15,1790313109.7172296,698.640625,3.3672130084596574,75.34810199285857,3973.36345500662,4052.078770007938,-0.9195,1,112,9,206b23e28556b8c1,0.913,1,112,9,ea25dd0e78956716,0.91,1,112,9,51e7b224ddb318d1,-0.916,1,112,9,230bd81105cb6279,201.65561500471085,14.539501979015768,816.4966990007088,1032.6918159844354,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05110681796291649,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,16,1790313114.8171532,698.640625,3.3913630177266896,75.41070197476074,3979.6935810009018,4058.495645993389,-0.9255,1,112,9,206b23e28556b8c1,0.905,1,112,9,ea25dd0e78956716,0.9085,1,112,9,51e7b224ddb318d1,-0.922,1,112,9,230bd81105cb6279,205.30967900413089,14.832591987214983,813.3908260206226,1033.5330970119685,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05050681796291648,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,17,1790313119.916357,699.140625,3.3235729788430035,75.44724101899192,3977.43876898312,4056.209582980955,-0.916,1,112,9,206b23e28556b8c1,0.921,1,112,9,ea25dd0e78956716,0.9225,1,112,9,51e7b224ddb318d1,-0.9295,1,112,9,230bd81105cb6279,204.72498799790628,14.769281988264993,815.7748779922258,1035.269147978397,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.049606817962916494,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,18,1790313125.0171008,699.140625,3.3763020182959735,75.50968197756447,3980.723212007433,4059.6091960032936,-0.917,1,112,9,206b23e28556b8c1,0.906,1,112,9,ea25dd0e78956716,0.9095,1,112,9,51e7b224ddb318d1,-0.9115,1,112,9,230bd81105cb6279,206.67573998798616,14.47521202499047,810.5103339767084,1031.661285989685,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.055809468638849745,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,19,1790313129.9291961,699.140625,5.382664006901905,76.75030300742947,3882.224581000628,3964.3575480149593,-0.9175,1,112,9,206b23e28556b8c1,0.914,1,112,9,ea25dd0e78956716,0.9115,1,112,9,51e7b224ddb318d1,-0.9205,1,112,9,230bd81105cb6279,170.26847999659367,14.103401015745476,754.9796389939729,939.3515200063121,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05305946863884974,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
none,20,1790313134.7194965,699.140625,3.596882976125926,59.95294899912551,3678.528984019067,3742.0788159943186,-0.926,1,112,9,206b23e28556b8c1,0.9075,1,112,9,ea25dd0e78956716,0.9295,1,112,9,51e7b224ddb318d1,-0.923,1,112,9,230bd81105cb6279,206.25911900424398,16.117852996103466,817.4998199974652,1039.8767919978127,0,7.362443987801726e-13,67e846e1433ad3db,d4b27c1f74e7534c,6,0.05538593494450698,Linux-6.8.0-64-generic-x86_64-with-glibc2.39
