part,spare,seed,mode,rep,component,seconds,count
A,0,0,instrumented,3,A1b  synthesize [all blocks],0.046808000000226,60
A,0,0,instrumented,3,A1 psf.compile [total],0.05650850699998955,1
A,0,0,instrumented,3,A2a  matching check (networkx),0.0023083250000013322,1
A,0,0,instrumented,3,A2b  orderings,0.0002109710000013365,1
A,0,0,instrumented,3,A2c  relabel graph,7.573400006322117e-05,2
A,0,0,instrumented,3,A2d  vf2_mapping (rustworkx),0.012477129999922454,2
A,0,0,instrumented,3,A2 layout search [total],0.015184131999944839,1
A,0,0,instrumented,3,A3 layout map -> list,1.0129000031611213e-05,1
A,0,0,instrumented,3,A4 qiskit transpile L1 [total],0.013432796000017788,1
A,0,0,instrumented,3,A0 compile_for_hardware [total],0.08569641900004399,
A,0,0,instrumented,3,"A1c  compile other (to_matrix, compose, loop)",0.0021716399998013003,
A,0,0,instrumented,3,"A1b.4 synthesize other (tolist, verify, checks)",0.002236540000524201,
A,0,0,instrumented,3,"A5 compile_for_hardware other (pair collection, import)",0.0005608550000602008,
A,0,0,instrumented,3,refine_triggered,,23
A,0,0,instrumented,3,cx_cache_hit,,0
A,0,0,instrumented,3,cx_cache_miss,,60
A,0,0,instrumented,4,A1a  consolidate (Collect2qBlocks+ConsolidateBlocks),0.007080168000015874,1
A,0,0,instrumented,4,A1b.1 core decompose (Rust),0.0007279019999941738,60
A,0,0,instrumented,4,A1b.2 polish (check + Gauss-Newton),0.01733995099976937,60
A,0,0,instrumented,4,A1b.3a cx core lookup/build,0.019066775000112557,60
A,0,0,instrumented,4,A1b.3 build circuit (incl. CX core),0.025697061000016674,60
A,0,0,instrumented,4,A1b  synthesize [all blocks],0.04608920699990904,60
A,0,0,instrumented,4,A1 psf.compile [total],0.05519658299999719,1
A,0,0,instrumented,4,A2a  matching check (networkx),0.002281524000011359,1
A,0,0,instrumented,4,A2b  orderings,0.00020630199998095122,1
A,0,0,instrumented,4,A2c  relabel graph,7.451200002606129e-05,2
A,0,0,instrumented,4,A2d  vf2_mapping (rustworkx),0.012585725999997521,2
A,0,0,instrumented,4,A2 layout search [total],0.015256900000053975,1
A,0,0,instrumented,4,A3 layout map -> list,1.0209999970811623e-05,1
A,0,0,instrumented,4,A4 qiskit transpile L1 [total],0.0140873240000019,1
