condition,seed,iteration,loss
ideal,0,0,1.105710244506567
ideal,0,1,0.8557670356015656
ideal,0,2,0.6749455132529996
ideal,0,3,0.5236194792599165
ideal,0,4,0.3587565101878248
ideal,0,5,0.21272755167008117
ideal,0,6,0.11242029671409969
ideal,0,7,0.05861147185542355
ideal,0,8,0.03617476295581795
ideal,0,9,0.029582385000951
ideal,0,10,0.029958919201527823
ideal,0,11,0.033139624742314217
ideal,0,12,0.03638915045737395
ideal,0,13,0.03734963148258526
ideal,0,14,0.03472038079111514
ideal,0,15,0.028928216290520378
ideal,0,16,0.02167807994126386
ideal,0,17,0.01479902326339413
ideal,0,18,0.00939700975346196
ideal,0,19,0.005718724894660719
ideal,0,20,0.0034756521345937815
ideal,0,21,0.002223518047171487
ideal,0,22,0.0015844790683592447
ideal,0,23,0.0013101804529573986
ideal,0,24,0.0012608827427571115
ideal,0,25,0.0013614787320251156
ideal,0,26,0.0015632896841998834
ideal,0,27,0.001820682999778703
ideal,0,28,0.002083202581268328
ideal,0,29,0.002300041837552565
ideal,0,30,0.0024308038201039284
ideal,0,31,0.0024551913492345087
ideal,0,32,0.002376086231651522
ideal,0,33,0.0022148478363522356
ideal,0,34,0.0020018817855483907
ideal,0,35,0.00176714306777425
ideal,0,36,0.0015339622231815434
ideal,0,37,0.001317039361099959
ideal,0,38,0.001123483361977512
ideal,0,39,0.0009551567421403544
ideal,0,40,0.0008109904089265046
ideal,0,41,0.0006886507219210412
ideal,0,42,0.0005854918595505217
ideal,0,43,0.0004989822850770657
ideal,0,44,0.0004268334796975466
ideal,0,45,0.00036700080502380714
ideal,0,46,0.0003176516358445339
ideal,0,47,0.0002771398603071179
ideal,0,48,0.00024399444283089585
ideal,0,49,0.00021691695704044241
ideal,0,50,0.0001947807801305618
ideal,0,51,0.00017662686875548816
ideal,0,52,0.00016165414548146981
ideal,0,53,0.00014920492365004686
ideal,0,54,0.00013874708045209056
ideal,0,55,0.00012985501495826473
ideal,0,56,0.00012219114825681753
ideal,0,57,0.00011548917269974757
ideal,0,58,0.0001095396790276261
ideal,0,59,0.00010417831928677016
ideal,0,60,9.92763481230811e-05
ideal,0,61,9.473321703667077e-05
ideal,0,62,9.047084014606817e-05
ideal,0,63,8.642916467238735e-05
ideal,0,64,8.256272961906052e-05
ideal,0,65,7.883795760694526e-05
ideal,0,66,7.523098358146219e-05
ideal,0,67,7.172587406299606e-05
ideal,0,68,6.831313056002065e-05
ideal,0,69,6.498840184561108e-05
ideal,0,70,6.175135382703996e-05
ideal,0,71,5.8604664307296445e-05
ideal,0,72,5.555312412918971e-05
ideal,0,73,5.260283660898426e-05
ideal,0,74,4.9760514143207776e-05
ideal,0,75,4.703287468427634e-05
ideal,0,76,4.442614179902862e-05
ideal,0,77,4.194565078318695e-05
ideal,0,78,3.9595560477515334e-05
