global_call_index,elapsed_since_start_s,arm,seed,repeat,time_ms,error,fallback_count,gc_gen0_count_before,gc_gen0_count_after,gc_collections_gen0_before,gc_collections_gen1_before,gc_collections_gen2_before,gc_collections_gen0_after,gc_collections_gen1_after,gc_collections_gen2_after,top_pass_name,top_pass_time_ms,top_pass_share,n_passes,total_pass_time_ms,disable_gc,routing_optimization_level,grid_rows,grid_cols,seed_transpiler,cpu,python_version,qiskit_version,is_outlier,_median_ms_nosearch,_median_ms_search
21,6.29777839999997,search,100,1,17.119899999897825,,0,3,0,642,57,5,646,57,5,,0.0,0.0,36,0.0,False,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.175550000047224
22,6.314403500000026,search,100,2,16.601599999830796,,0,3,0,646,57,5,649,58,5,BasisTranslator,2.0112991333007812,1.0,36,2.0112991333007812,False,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.175550000047224
23,6.334591699999919,search,100,3,20.121000000017375,,0,3,0,649,58,5,653,58,5,,0.0,0.0,36,0.0,False,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.175550000047224
24,6.350957200000039,search,100,4,16.309599999885904,,0,3,0,653,58,5,657,58,5,,0.0,0.0,36,0.0,False,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.175550000047224
25,6.3681799999999384,search,100,5,17.19790000015564,,0,3,0,657,58,5,660,59,5,Optimize1qGatesDecomposition,15.898466110229492,0.9406014613366435,36,16.902446746826172,False,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.175550000047224
26,6.386071399999992,search,100,6,17.86220000008143,,0,3,0,660,59,5,664,59,5,,0.0,0.0,36,0.0,False,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.175550000047224
27,6.402577199999996,search,100,7,16.480899999805843,,0,3,0,664,59,5,668,59,5,,0.0,0.0,36,0.0,False,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.175550000047224
28,6.419252400000005,search,100,8,16.65140000000065,,0,3,0,668,59,5,671,60,5,,0.0,0.0,36,0.0,False,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.175550000047224
29,6.4366823999998815,search,100,9,17.404499999884138,,0,3,0,671,60,5,675,60,5,BasisTranslator,2.0074844360351562,1.0,36,2.0074844360351562,False,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.175550000047224
30,6.45564760000002,search,100,10,18.932100000029095,,0,3,0,675,60,5,679,60,5,,0.0,0.0,36,0.0,False,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.175550000047224
