iteration,engine,time_s,depth,cx_count,signature
14,TKET,0.04256170000007842,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
14,PSF-Zero,0.0005411000001913635,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
15,Qiskit_L3,0.007528599999886865,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
15,TKET,0.0427878000000419,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
15,PSF-Zero,0.0005149999999503052,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
16,Qiskit_L3,0.007669700000178636,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
16,TKET,0.04248469999993176,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
16,PSF-Zero,0.0005062000000179978,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
17,Qiskit_L3,0.007867699999906108,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
17,TKET,0.042692600000009406,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
17,PSF-Zero,0.0005317999998624146,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
18,Qiskit_L3,0.007260999999971318,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
18,TKET,0.04257899999993242,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
18,PSF-Zero,0.00045440000008056813,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
19,Qiskit_L3,0.00702410000008058,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
19,TKET,0.042578900000080466,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
19,PSF-Zero,0.00047940000013113604,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
20,Qiskit_L3,0.007425399999874571,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
20,TKET,0.04201950000015131,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
20,PSF-Zero,0.0004543000000012398,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
21,Qiskit_L3,0.007271599999967293,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
21,TKET,0.042549700000108714,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
21,PSF-Zero,0.0004447999999683816,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
22,Qiskit_L3,0.0074707999999645835,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
22,TKET,0.04251520000002529,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
22,PSF-Zero,0.0004568000001654582,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
23,Qiskit_L3,0.007188499999983833,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
23,TKET,0.04248469999993176,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
23,PSF-Zero,0.00045550000004368485,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
24,Qiskit_L3,0.007666900000003807,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
24,TKET,0.04295979999983501,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
24,PSF-Zero,0.0007482000000891276,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
25,Qiskit_L3,0.007806900000105088,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
25,TKET,0.042222099999889906,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
25,PSF-Zero,0.0006457999998019659,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
26,Qiskit_L3,0.007744999999886204,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
26,TKET,0.043304799999987154,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
26,PSF-Zero,0.0005357999998523155,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
27,Qiskit_L3,0.007873900000049616,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
27,TKET,0.042519000000083906,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
27,PSF-Zero,0.0005707000000256812,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
28,Qiskit_L3,0.007574700000077428,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
28,TKET,0.04267339999978503,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
28,PSF-Zero,0.0005082000000129483,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
29,Qiskit_L3,0.007710099999940212,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
29,TKET,0.04239810000012767,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
29,PSF-Zero,0.0004619999999704305,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
30,Qiskit_L3,0.007412100000010469,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
30,TKET,0.042723600000044826,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
30,PSF-Zero,0.0004971999999270338,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
31,Qiskit_L3,0.0074412999999822205,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
31,TKET,0.042253200000004654,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
31,PSF-Zero,0.0005071999999017862,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
32,Qiskit_L3,0.007309999999961292,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
32,TKET,0.04218040000000656,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
32,PSF-Zero,0.0004859000000578817,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
33,Qiskit_L3,0.007206999999880281,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
33,TKET,0.042169400000148016,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
33,PSF-Zero,0.0004907999998522428,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
34,Qiskit_L3,0.007291699999996126,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
34,TKET,0.0430225000000064,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
34,PSF-Zero,0.0005412000000433181,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
35,Qiskit_L3,0.007638799999995172,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
35,TKET,0.042651900000009846,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
35,PSF-Zero,0.0005025000000387081,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
36,Qiskit_L3,0.007187999999814565,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
36,TKET,0.042813799999976254,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
36,PSF-Zero,0.0005337000000054104,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
37,Qiskit_L3,0.007512099999985367,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
37,TKET,0.042384800000036194,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
37,PSF-Zero,0.0005217000000357075,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
38,Qiskit_L3,0.008191600000145627,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
38,TKET,0.04276509999999689,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
38,PSF-Zero,0.0004728999999770167,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
39,Qiskit_L3,0.007318300000179079,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
39,TKET,0.042149200000039855,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
39,PSF-Zero,0.0004490999999688938,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
40,Qiskit_L3,0.0075265000000399596,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
40,TKET,0.042535399999906076,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
40,PSF-Zero,0.000502899999901274,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
41,Qiskit_L3,0.007453299999951923,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
41,TKET,0.04233109999995577,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
41,PSF-Zero,0.0004866000001584325,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
42,Qiskit_L3,0.00745720000008987,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
42,TKET,0.042401799999879586,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
42,PSF-Zero,0.00046840000004522153,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
43,Qiskit_L3,0.007410900000195397,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
43,TKET,0.04261909999991076,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
43,PSF-Zero,0.0005053999998381187,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
44,Qiskit_L3,0.007556900000054156,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
44,TKET,0.04289779999999155,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
44,PSF-Zero,0.0005119999998441926,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
45,Qiskit_L3,0.0076423000000431784,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
45,TKET,0.043366699999978664,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
45,PSF-Zero,0.0005108000000291213,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
46,Qiskit_L3,0.00729260000002796,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
46,TKET,0.04243339999993623,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
46,PSF-Zero,0.000496400000201902,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
47,Qiskit_L3,0.0078304000001026,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
47,TKET,0.04309980000016367,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
47,PSF-Zero,0.0005197999998927116,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
48,Qiskit_L3,0.007375099999990198,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
48,TKET,0.04278799999997318,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
48,PSF-Zero,0.0004805999999462074,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
49,Qiskit_L3,0.006992200000013327,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
49,TKET,0.04214810000007674,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
49,PSF-Zero,0.0004421999999522086,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
50,Qiskit_L3,0.007400999999845226,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
50,TKET,0.04263289999994413,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
50,PSF-Zero,0.0004930000000058499,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
51,Qiskit_L3,0.007438099999944825,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
51,TKET,0.0420065999999224,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
51,PSF-Zero,0.0004546000000118511,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
52,Qiskit_L3,0.007156699999995908,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
52,TKET,0.04305990000011661,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
52,PSF-Zero,0.0005115999999816268,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
53,Qiskit_L3,0.0074088000001211185,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
53,TKET,0.04251369999997223,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
53,PSF-Zero,0.0005318999999417429,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
54,Qiskit_L3,0.007507500000201617,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
54,TKET,0.0422484999999142,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
54,PSF-Zero,0.0004578999999012012,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
55,Qiskit_L3,0.007147900000063601,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
55,TKET,0.04261029999997845,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
55,PSF-Zero,0.00044720000005327165,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
56,Qiskit_L3,0.007073499999933119,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
56,TKET,0.04247890000010557,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
56,PSF-Zero,0.0005089999999654538,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
57,Qiskit_L3,0.007411499999989246,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
57,TKET,0.04268980000006195,7,3,5f4989e6fbb69dfc1e13bd1fbf1bde6392a4d95f49f407488806eda24fae0a0c
57,PSF-Zero,0.0004901999998310202,9,0,dd177abb207f83382336ee35752bed3e34f870181d96ccd4326a4ea1c52cb605
58,Qiskit_L3,0.007501999999931286,16,3,ab0adba075df1d0c2121f351153c24beeadbbd476908bb2a652d393932076be4
