Seed,Arm,CallLimit,MaxTrials,Qubits,Physical,Time_min_s,Time_median_s,StopReason,Platform,Python,CPU,CPU_count,StartMethod,qiskit,rustworkx,networkx,numpy,core_ext
29,tuple_full,"(3000000, 3000000)",,42,42,0.33100150000063877,0.33323919999929785,VF2LayoutStopReason.SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
0,scalar,3000000,,42,42,0.32863170000018727,0.33009109999875363,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
0,max_trials1,3000000,1.0,42,42,0.3252353000007133,0.3262103999986721,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
0,tuple_10k,"(3000000, 10000)",,42,42,0.32264090000171564,0.3228237999992416,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
0,tuple_full,"(3000000, 3000000)",,42,42,0.32436069999857864,0.32561249999889696,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
2,scalar,3000000,,42,42,0.32454539999889676,0.32480649999888556,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
2,max_trials1,3000000,1.0,42,42,0.321386599998732,0.32754799999929674,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
2,tuple_10k,"(3000000, 10000)",,42,42,0.32853809999869554,0.329957199999626,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
2,tuple_full,"(3000000, 3000000)",,42,42,0.32618940000065777,0.330087000000276,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,scalar,3000000,,42,42,0.3577650999995967,1.0127002999997785,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,max_trials1,3000000,1.0,42,42,1.0127115000013873,1.0227606999997079,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_10k,"(3000000, 10000)",,42,42,0.33166999999957625,0.3388518000010663,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
3,tuple_full,"(3000000, 3000000)",,42,42,0.32615570000052685,0.32675229999949806,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
4,scalar,3000000,,42,42,0.3325049000013678,0.33582100000057835,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
4,max_trials1,3000000,1.0,42,42,0.34165650000068126,0.3420315999992454,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
4,tuple_10k,"(3000000, 10000)",,42,42,0.9689041000001453,1.1483533999999054,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
4,tuple_full,"(3000000, 3000000)",,42,42,0.8595072999996773,1.1566508000014437,VF2LayoutStopReason.NO_SOLUTION_FOUND,Windows-10-10.0.26100-SP0,3.11.9,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",14,spawn,2.5.2,0.18.1,3.6.1,2.4.6,psf_zero_core.cp311-win_amd64.pyd:418304
