Threads,Seed,Qubits,Layer,Status,Time_min_s,Time_median_s,Platform,Python,StartMethod,CPU,CPU_count,Qiskit,numpy,Fixture,core_file,core_bytes,core_ext,blas
default,1,156,canonical_verifyTrue,success,0.019195999999965352,0.019496600000024955,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,1,156,cx_verifyFalse,success,0.01095989999998892,0.01127520000000004,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,1,156,cx_verifyTrue,success,0.020104799999955958,0.020836400000007416,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,2,-1,core_raw,success,0.0019197999999960302,0.0019279999999639585,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,2,-1,core_raw_checked,skipped,,,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,2,-1,numpy_ref,success,0.003940600000021277,0.00399609999999484,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,2,-1,synth_1block_canonical,success,0.009946000000013555,0.010146599999984574,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,2,-1,synth_1block_cx,success,0.01062730000001011,0.010716199999990295,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,2,15,prep,success,0.00016779999998561834,0.0001770000000078653,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
default,2,15,canonical_verifyFalse,success,0.0010819999999966967,0.0011968000000024404,Windows-10-10.0.26100-SP0,3.10.11,spawn,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",12,2.5.2,2.2.6,test1v3,__init__.py,135,psf_zero_core.cp310-win_amd64.pyd:324608,scipy-openblas
