global_call_index,elapsed_since_start_s,arm,seed,repeat,time_ms,error,fallback_count,gc_gen0_count_before,gc_gen0_count_after,gc_collections_gen0_before,gc_collections_gen1_before,gc_collections_gen2_before,gc_collections_gen0_after,gc_collections_gen1_after,gc_collections_gen2_after,top_pass_name,top_pass_time_ms,top_pass_share,n_passes,total_pass_time_ms,disable_gc,routing_optimization_level,grid_rows,grid_cols,seed_transpiler,cpu,python_version,qiskit_version,is_outlier,_median_ms_nosearch,_median_ms_search
20,2.230596199999809,search,100,0,17.018700000107856,,0,207413,208461,329,29,2,329,29,2,BasisTranslator,1.0728836059570312,1.0,36,1.0728836059570312,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
21,2.2480016999998043,search,100,1,17.36720000008063,,0,208462,209514,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
22,2.265512499999886,search,100,2,17.4803999998403,,0,209515,210570,329,29,2,329,29,2,CheckMap,1.07574462890625,0.43788819875776397,36,2.4566650390625,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
23,2.282273299999815,search,100,3,16.73239999990983,,0,210571,211626,329,29,2,329,29,2,InverseCancellation,1.1038780212402344,0.7215209599501324,36,1.5299320220947266,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
24,2.299839099999872,search,100,4,17.537899999979345,,0,211627,212682,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
25,2.3163220999999794,search,100,5,16.457500000115033,,0,212683,213738,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
26,2.332351499999959,search,100,6,16.00430000007691,,0,213739,214794,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
27,2.3498118999998496,search,100,7,17.434899999898334,,0,214795,215850,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
28,2.3682123999999476,search,100,8,18.371399999978166,,0,215851,216906,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
29,2.389149499999803,search,100,9,20.89590000014141,,0,216907,217962,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
30,2.4072833000000173,search,100,10,18.095500000072207,,0,217963,219018,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
31,2.4250585999998293,search,100,11,17.749000000094384,,0,219019,220074,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
32,2.4428014999998595,search,100,12,17.716100000143342,,0,220075,221130,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
33,2.459343199999921,search,100,13,16.515799999979208,,0,221131,222186,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
34,2.476127099999985,search,100,14,16.757899999902293,,0,222187,223242,329,29,2,329,29,2,Optimize1qGatesDecomposition,14.658212661743164,1.0,36,14.658212661743164,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
35,2.4935123000000203,search,100,15,17.35529999996288,,0,223243,224298,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
36,2.5101740000000063,search,100,16,16.63430000007793,,0,224299,225354,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
37,2.52633939999987,search,100,17,16.141800000013973,,0,225355,226410,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
38,2.5514498000000003,search,100,18,25.085799999942537,,0,226411,227466,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
39,2.569324899999856,search,100,19,17.847500000016225,,0,227467,228522,329,29,2,329,29,2,,0.0,0.0,36,0.0,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,,17.325949999985824
40,2.6376295999998547,nosearch,101,0,23.50109999997585,,0,231062,231930,329,29,2,329,29,2,SabreLayout,15.40064811706543,0.949954410423836,39,16.211986541748047,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
41,2.6626138999999966,nosearch,101,1,24.95509999994283,,0,231931,232790,329,29,2,329,29,2,BasisTranslator,15.165567398071289,0.9082847840986977,39,16.696929931640625,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
42,2.685439299999871,nosearch,101,2,22.79269999985445,,0,232791,233647,329,29,2,329,29,2,SabreLayout,16.14236831665039,0.9209069517552808,39,17.528772354125977,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
43,2.711853099999871,nosearch,101,3,26.36619999998402,,0,233648,234504,329,29,2,329,29,2,VF2Layout,16.507625579833984,0.5192629313254187,39,31.790494918823242,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
44,2.7374388999999155,nosearch,101,4,25.50710000014078,,0,234505,235361,329,29,2,329,29,2,SabreLayout,15.238761901855469,0.9098362989323844,39,16.748905181884766,True,1,6,7,42,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",3.11.9,2.5.2,False,23.28184999998939,
