spare,n,occupancy,seed,arm,repeat,elapsed_since_start_s,total_ms,placement_ms,routing_ms,rebase_ms,two_qubit_gates,depth,violations,error,peephole_ms,cpu,platform,python_version,qiskit_version,pytket_version,grid_rows,grid_cols,gates_per_pair,tket_timeout_ms,tket_max_matches,with_peephole
0,42,1.0,1,tket_placement_routing,1,112.18495899999834,189.31569999767817,134.3325999987428,54.98309999893536,1070.7720999998855,1260,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,tket_placement_routing,2,116.0006773999994,210.18570000160253,151.13669999846024,59.04900000314228,1012.4218000019027,1260,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,tket_default_mapping,0,122.7476093999976,108.76210000060382,,,334.39220000218484,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,tket_default_mapping,1,124.16389799999888,104.56619999968098,,,314.0941000019666,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,1,tket_default_mapping,2,125.44815819999712,109.46709999916493,,,340.87410000211094,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,qiskit_opt1,0,126.91088539999691,36.87509999872418,,,,1266,728,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,qiskit_opt1,1,126.97807819999798,34.430399999109795,,,,1266,728,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,qiskit_opt1,2,127.05372379999972,35.802100002911175,,,,1266,728,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,qiskit_opt3,0,136.51634369999738,12889.95259999865,,,,63,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,qiskit_opt3,1,149.4116565999975,17853.587300000072,,,,63,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,qiskit_opt3,2,167.27035780000006,19123.67610000001,,,,63,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,tket_placement_routing,0,190.4041737999978,110.31310000180383,67.77800000054413,42.53510000125971,1078.0043999984628,1260,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,tket_placement_routing,1,194.58407420000003,252.41209999876446,186.17470000026515,66.23739999849931,1240.8780000005208,1260,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,tket_placement_routing,2,199.03461439999955,230.691000000661,168.9583000006678,61.7326999999932,1442.6428000006126,1260,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,tket_default_mapping,0,208.66878319999887,293.03860000072746,,,1320.32750000144,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,tket_default_mapping,1,212.9368134999968,347.11439999955473,,,1343.0595999998332,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
0,42,1.0,2,tket_default_mapping,2,217.55656539999836,385.4981000004045,,,1339.0204999996058,1260,460,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,0,qiskit_opt1,0,222.88255269999718,50.321899998380104,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,0,qiskit_opt1,1,223.03571079999892,61.030200002278434,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,0,qiskit_opt1,2,223.1855246999985,50.38620000050287,,,,1200,365,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,0,qiskit_opt3,0,223.39349409999704,61.499899999034824,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,0,qiskit_opt3,1,223.46173739999722,67.07009999809088,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,0,qiskit_opt3,2,223.5335817999985,69.36679999853368,,,,60,16,0,,,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,0,tket_placement_routing,0,227.04051079999772,218.42299999843817,163.12039999684202,55.30260000159615,1380.8332000007795,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
1,41,0.9761904761904762,0,tket_placement_routing,1,231.16069049999714,52.49969999931636,39.49370000191266,13.005999997403705,297.07649999909336,1200,460,0,,0.0,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",Windows-10-10.0.26100-SP0,3.11.9,2.5.2,2.18.1,6,7,20,1000,1000,False
