backend,twoq,tape_seed,arm,routed_2q,n_1q,size,depth,tvd_noisy,psf_fallbacks
FakeStrasbourg,ecr,4,T,6,74,80,23,0.023012420285548493,
FakeTorino,cz,0,A,6,70,76,22,0.033386817962825034,
FakeTorino,cz,0,Z,6,66,72,23,0.03337593494441619,
FakeTorino,cz,0,P,6,66,72,23,0.03365681796282503,0
FakeTorino,cz,0,T,6,58,64,19,0.031026817962825033,
FakeTorino,cz,1,A,6,70,76,22,0.018719909830108565,
FakeTorino,cz,1,Z,6,66,72,23,0.018759909830108563,
FakeTorino,cz,1,P,6,66,72,23,0.018889909830108572,0
FakeTorino,cz,1,T,6,58,64,19,0.018009909830108566,
FakeTorino,cz,2,A,6,70,76,22,0.022067304604452713,
FakeTorino,cz,2,Z,6,66,72,23,0.022097304604452715,
FakeTorino,cz,2,P,6,66,72,23,0.022097304604452715,0
FakeTorino,cz,2,T,6,58,64,19,0.0189673046044527,
FakeTorino,cz,3,A,6,70,76,22,0.011895966357863899,
FakeTorino,cz,3,Z,6,66,72,23,0.011865966357863892,
FakeTorino,cz,3,P,6,66,72,23,0.01184596635786389,0
FakeTorino,cz,3,T,6,58,64,19,0.012195987087044498,
FakeTorino,cz,4,A,6,70,76,22,0.022600236346071827,
FakeTorino,cz,4,Z,6,66,72,23,0.022540236346071822,
FakeTorino,cz,4,P,6,66,72,23,0.022630236346071836,0
FakeTorino,cz,4,T,6,58,64,19,0.01797933755235285,
FakeWashingtonV2,cx,0,A,6,78,84,23,0.028116817962825027,
FakeWashingtonV2,cx,0,Z,6,50,56,16,0.03065946863871526,
FakeWashingtonV2,cx,0,P,6,50,56,16,0.02638681796282504,0
FakeWashingtonV2,cx,0,T,6,50,56,16,0.029766817962825026,
FakeWashingtonV2,cx,1,A,6,78,84,23,0.019447689552529245,
FakeWashingtonV2,cx,1,Z,6,50,56,16,0.015122427230194756,
FakeWashingtonV2,cx,1,P,6,50,56,16,0.015092427230194768,0
FakeWashingtonV2,cx,1,T,6,50,56,16,0.01684990983010857,
FakeWashingtonV2,cx,2,A,6,78,84,23,0.024010855051660444,
FakeWashingtonV2,cx,2,Z,6,50,56,16,0.020324503929868138,
FakeWashingtonV2,cx,2,P,6,50,56,16,0.020324503929868138,0
FakeWashingtonV2,cx,2,T,6,50,56,16,0.018034503929868113,
FakeWashingtonV2,cx,3,A,6,78,84,23,0.01567474189531149,
FakeWashingtonV2,cx,3,Z,6,50,56,16,0.012764758085398693,
FakeWashingtonV2,cx,3,P,6,50,56,16,0.012101200018268721,0
FakeWashingtonV2,cx,3,T,6,50,56,16,0.010559905967007841,
FakeWashingtonV2,cx,4,A,6,78,84,23,0.023919337552352857,
FakeWashingtonV2,cx,4,Z,6,50,56,16,0.021982420285548483,
FakeWashingtonV2,cx,4,P,6,50,56,16,0.023539337552352844,0
FakeWashingtonV2,cx,4,T,6,50,56,16,0.023019337552352855,
