backend,twoq,tape_seed,arm,routed_2q,n_1q,size,depth,tvd_noisy,psf_fallbacks
FakeBrisbane,ecr,0,P,6,68,74,21,0.058166817962825024,0
FakeBrisbane,ecr,0,T,6,74,80,23,0.0516759349444162,
FakeBrisbane,ecr,1,A,6,78,84,23,0.02756723951358475,
FakeBrisbane,ecr,1,Z,6,68,74,21,0.03059990983010857,
FakeBrisbane,ecr,1,P,6,68,74,21,0.030699909830108573,0
FakeBrisbane,ecr,1,T,6,74,80,23,0.03020242723019475,
FakeBrisbane,ecr,2,A,6,78,84,23,0.03233481410142709,
FakeBrisbane,ecr,2,Z,6,68,74,21,0.030154814101427112,
FakeBrisbane,ecr,2,P,6,68,74,21,0.030154814101427112,0
FakeBrisbane,ecr,2,T,6,74,80,23,0.03014730460445272,
FakeBrisbane,ecr,3,A,6,78,84,23,0.014895348911913098,
FakeBrisbane,ecr,3,Z,6,68,74,21,0.014005987087044494,
FakeBrisbane,ecr,3,P,6,68,74,21,0.014392638304414966,0
FakeBrisbane,ecr,3,T,6,74,80,23,0.02538270559238559,
FakeBrisbane,ecr,4,A,6,78,84,23,0.036709337552352866,
FakeBrisbane,ecr,4,Z,6,68,74,21,0.03971933755235286,
FakeBrisbane,ecr,4,P,6,68,74,21,0.038089337552352866,0
FakeBrisbane,ecr,4,T,6,74,80,23,0.030679337552352866,
FakeBrussels,ecr,0,A,6,69,75,23,0.049096817962825015,
FakeBrussels,ecr,0,Z,6,66,72,21,0.04818946863871525,
FakeBrussels,ecr,0,P,6,66,72,21,0.050856817962825034,0
FakeBrussels,ecr,0,T,6,74,80,23,0.046156817962825045,
FakeBrussels,ecr,1,A,6,69,75,23,0.029202427230194755,
FakeBrussels,ecr,1,Z,6,66,72,21,0.028072427230194756,
FakeBrussels,ecr,1,P,6,66,72,21,0.028082427230194763,0
FakeBrussels,ecr,1,T,6,74,80,23,0.025962427230194766,
FakeBrussels,ecr,2,A,6,69,75,23,0.02802095348266038,
FakeBrussels,ecr,2,Z,6,66,72,21,0.02850095348266038,
FakeBrussels,ecr,2,P,6,66,72,21,0.02850095348266038,0
FakeBrussels,ecr,2,T,6,74,80,23,0.02095116522321946,
FakeBrussels,ecr,3,A,6,69,75,23,0.017980594254136992,
FakeBrussels,ecr,3,Z,6,66,72,21,0.01885575707336344,
FakeBrussels,ecr,3,P,6,66,72,21,0.018955757073363444,0
FakeBrussels,ecr,3,T,6,74,80,23,0.01992575707336345,
FakeBrussels,ecr,4,A,6,69,75,23,0.03015933755235288,
FakeBrussels,ecr,4,Z,6,66,72,21,0.035379337552352855,
FakeBrussels,ecr,4,P,6,66,72,21,0.03302933755235286,0
FakeBrussels,ecr,4,T,6,74,80,23,0.02748933755235288,
FakeCusco,ecr,0,A,6,60,66,19,0.05107681796282501,
FakeCusco,ecr,0,Z,6,64,70,19,0.05142681796282504,
FakeCusco,ecr,0,P,6,64,70,19,0.05202681796282501,0
FakeCusco,ecr,0,T,6,74,80,23,0.057166817962825016,
FakeCusco,ecr,1,A,6,60,66,19,0.026569909830108575,
FakeCusco,ecr,1,Z,6,64,70,19,0.025189909830108565,
FakeCusco,ecr,1,P,6,64,70,19,0.02653990983010856,0
FakeCusco,ecr,1,T,6,74,80,23,0.026262427230194764,
FakeCusco,ecr,2,A,6,60,66,19,0.03802730460445272,
FakeCusco,ecr,2,Z,6,64,70,19,0.03889730460445271,
FakeCusco,ecr,2,P,6,64,70,19,0.03889730460445271,0
FakeCusco,ecr,2,T,6,74,80,23,0.02607481410142712,
FakeCusco,ecr,3,A,6,60,66,19,0.01886099073376827,
FakeCusco,ecr,3,Z,6,64,70,19,0.018310990733768275,
FakeCusco,ecr,3,P,6,64,70,19,0.017880990733768275,0
FakeCusco,ecr,3,T,6,74,80,23,0.018259524424993866,
FakeCusco,ecr,4,A,6,60,66,19,0.036209337552352866,
FakeCusco,ecr,4,Z,6,64,70,19,0.036609337552352864,
FakeCusco,ecr,4,P,6,64,70,19,0.035399337552352875,0
FakeCusco,ecr,4,T,6,74,80,23,0.038469337552352864,
FakeFez,cz,0,A,6,70,76,22,0.019225934944416167,
FakeFez,cz,0,Z,6,66,72,23,0.01916593494441619,
FakeFez,cz,0,P,6,66,72,23,0.01926681796282503,0
FakeFez,cz,0,T,6,58,64,19,0.021175934944416164,
FakeFez,cz,1,A,6,70,76,22,0.011392427230194756,
FakeFez,cz,1,Z,6,66,72,23,0.01144242723019475,
FakeFez,cz,1,P,6,66,72,23,0.011432427230194763,0
FakeFez,cz,1,T,6,58,64,19,0.012212427230194759,
FakeFez,cz,2,A,6,70,76,22,0.011567304604452718,
FakeFez,cz,2,Z,6,66,72,23,0.011567304604452718,
FakeFez,cz,2,P,6,66,72,23,0.011567304604452718,0
FakeFez,cz,2,T,6,58,64,19,0.012814503929868127,
FakeFez,cz,3,A,6,70,76,22,0.010392429019914528,
FakeFez,cz,3,Z,6,66,72,23,0.01038242901991451,
FakeFez,cz,3,P,6,66,72,23,0.010342429019914511,0
FakeFez,cz,3,T,6,58,64,19,0.008320411018306958,
FakeFez,cz,4,A,6,70,76,22,0.016849337552352857,
FakeFez,cz,4,Z,6,66,72,23,0.01684933755235287,
FakeFez,cz,4,P,6,66,72,23,0.01703933755235285,0
FakeFez,cz,4,T,6,58,64,19,0.012520236346071828,
FakeKawasaki,ecr,0,A,6,60,66,19,0.03195681796282502,
FakeKawasaki,ecr,0,Z,6,64,70,19,0.03437681796282504,
FakeKawasaki,ecr,0,P,6,64,70,19,0.034666817962825044,0
FakeKawasaki,ecr,0,T,6,74,80,23,0.034596817962825044,
FakeKawasaki,ecr,1,A,6,60,66,19,0.01919990983010856,
FakeKawasaki,ecr,1,Z,6,64,70,19,0.01740990983010856,
FakeKawasaki,ecr,1,P,6,64,70,19,0.01916943845919947,0
FakeKawasaki,ecr,1,T,6,74,80,23,0.019992427230194752,
FakeKawasaki,ecr,2,A,6,60,66,19,0.019940953482660378,
FakeKawasaki,ecr,2,Z,6,64,70,19,0.02163730460445272,
